team,year,conf_wins,conf_losses,wins,losses,major_wins,major_losses,mid_major_wins,mid_major_losses,o_reb_rate,d_reb_rate,off_rating,def_rating,net_rating,sos_off,sos_def,sos_net,to_rate_off,to_rate_def,steal_rate,opp_steal_rate,pace,ftf,ftf_opp,conference,conf_avg_net,At-Large,DNQ,prob,max_prob,projected_champ,desc,seed_1,seed_2,seed_3,seed_4,seed_5,seed_6,seed_7,seed_8,seed_9,seed_10,seed_11,seed_12,seed_13,seed_14,seed_15,seed_16,pred_seed,rank
Gonzaga,2021,15,0,24,0,5,0,15,0,0.3076923076923077,0.7633069082672707,123.9710789766407,92.39311493614656,31.577964040494123,103.38022161925994,101.86060947583616,-1.5196121434237468,0.1626226122870418,0.20442842430484037,0.11151264842540012,0.08032955715756952,74.5,0.2661290322580645,0.18187539332913785,WCC,2.3825767597392216,0.646,0.354,0.8,0.8,1,In,0.498,0.086,0.014,0.024,0.006,0.014,0.036,0.018,0.012,0.038,0.06,0.124,0.022,0.042,0.004,0.002,1,1
Michigan,2021,13,1,18,1,13,1,4,0,0.3086206896551724,0.7577807848443843,115.968992248062,94.72477064220185,21.244221605860176,102.7640710060368,106.06454610502269,3.30047509898585,0.16981132075471697,0.13351134846461948,0.05660377358490566,0.07610146862483311,66.69662921348315,0.256,0.21417797888386125,Big Ten,6.356566532271101,0.89,0.11,0.47,0.47,1,In,0.314,0.058,0.072,0.146,0.052,0.07,0.036,0.03,0.03,0.024,0.064,0.06,0.012,0.018,0.01,0.004,1,2
Baylor,2021,10,1,18,1,13,1,0,0,0.36946564885496186,0.6944024205748865,120.9895052473763,90.98422238918108,30.00528285819523,106.6356722770182,101.12777439886678,-5.5078978781513985,0.18133333333333335,0.25067024128686327,0.13733333333333334,0.09919571045576409,68.18181818181819,0.1800302571860817,0.19699499165275455,Big 12,5.825727944813468,0.76,0.24,0.44,0.44,1,In,0.302,0.084,0.026,0.028,0.036,0.028,0.018,0.018,0.01,0.028,0.02,0.074,0.118,0.116,0.052,0.042,1,3
Illinois,2021,14,4,18,6,15,6,1,0,0.32470892626131953,0.7760869565217391,113.51193942923705,95.73241061130334,17.77952881793371,102.55030479854844,105.1499209395563,2.5996161410078433,0.1901893287435456,0.16340425531914893,0.076592082616179,0.09191489361702128,72.06201550387597,0.27505330490405117,0.19775739041794088,Big Ten,6.356566532271101,0.92,0.08,0.23,0.47,0,In,0.22,0.036,0.172,0.194,0.1,0.102,0.044,0.032,0.008,0.03,0.024,0.024,0.008,0.002,0.002,0.002,1,4
Houston,2021,13,3,19,3,2,0,14,3,0.39787485242030696,0.727164887307236,116.36245110821382,86.8247694334651,29.537681674748725,100.61510210007968,95.8103827167657,-4.804719383313959,0.1705150976909414,0.22311827956989247,0.12255772646536411,0.07526881720430108,66.23529411764706,0.23804971319311663,0.2857142857142857,American,3.6278797426022114,0.462,0.538,0.7,0.7,1,In,0.03,0.344,0.01,0.014,0.022,0.056,0.026,0.024,0.052,0.03,0.036,0.086,0.058,0.102,0.066,0.044,2,5
Arkansas,2021,11,4,19,5,11,5,0,0,0.3220892274211099,0.7404162102957283,109.70604547975596,94.39461883408072,15.31142664567524,100.58357461319063,102.83385356446144,2.2502789512708214,0.17133956386292834,0.21023622047244095,0.10903426791277258,0.08897637795275591,74.97810218978103,0.24223034734917737,0.21663442940038685,SEC,5.097983959233669,0.542,0.458,0.25,0.25,1,In,0.048,0.042,0.258,0.062,0.064,0.106,0.118,0.028,0.024,0.07,0.058,0.048,0.02,0.048,0.004,0.002,3,6
Alabama,2021,14,2,19,6,15,5,1,0,0.30635245901639346,0.7114228456913828,106.7024128686327,93.97011739594453,12.732295472688191,96.59980055633048,104.1045446378306,7.504744081500096,0.1911421911421911,0.2046376811594203,0.11363636363636365,0.10956521739130434,74.6086956521739,0.21932830705962988,0.23028169014084507,SEC,5.097983959233669,0.884,0.116,0.2,0.25,0,In,0.034,0.166,0.268,0.112,0.072,0.058,0.084,0.074,0.024,0.016,0.016,0.028,0.016,0.024,0.004,0.004,3,7
West Virginia,2021,10,4,17,6,11,5,2,1,0.3543577981651376,0.6991576413959085,109.3094944512947,100.12292562999386,9.186568821300838,100.79787630163236,103.97902653555002,3.181150233917638,0.18742442563482467,0.21359223300970873,0.10519951632406288,0.09344660194174756,68.91666666666667,0.3089311859443631,0.17167381974248927,Big 12,5.825727944813468,0.592,0.408,0.08,0.44,0,In,0.032,0.032,0.2,0.1,0.064,0.086,0.09,0.074,0.08,0.084,0.052,0.038,0.024,0.026,0.012,0.006,3,8
Colorado,2021,14,6,19,7,15,7,0,0,0.2962515114873035,0.7426636568848759,111.33720930232558,94.95944380069524,16.37776550163032,99.2886214796385,101.98903618297376,2.700414703335256,0.15865384615384617,0.20481099656357388,0.0831043956043956,0.06872852233676977,66.18181818181819,0.2426877470355731,0.20381110190555096,Pac-12,4.174742674360351,0.89,0.11,0.42,0.42,1,In,0.026,0.06,0.182,0.1,0.152,0.09,0.126,0.026,0.04,0.026,0.044,0.11,0.004,0.014,0,0,3,9
Kansas,2021,12,6,17,8,14,7,1,1,0.3230605738575983,0.7350157728706624,106.640625,94.69906129210382,11.94156370789618,99.96089862141548,103.67113628591086,3.710237664495349,0.1965317919075145,0.20457142857142857,0.08786127167630058,0.09028571428571427,65.9047619047619,0.20352781546811397,0.1823056300268097,Big 12,5.825727944813468,0.884,0.116,0.15,0.44,0,In,0,0.008,0.286,0.094,0.112,0.118,0.112,0.084,0.04,0.046,0.026,0.046,0.016,0.008,0.002,0.002,3,10
Florida State,2021,10,3,14,4,12,3,0,1,0.3634840871021776,0.6948640483383686,113.35453100158983,100.15974440894568,13.19478659264415,98.99160507822978,102.40195173955294,3.4103466613231848,0.1971223021582734,0.2106782106782107,0.1251798561151079,0.09523809523809525,67.80487804878048,0.2593856655290102,0.28091872791519434,ACC,4.152812468258483,0.762,0.238,0.23,0.39,0,In,0.07,0.046,0.084,0.174,0.076,0.072,0.112,0.054,0.054,0.084,0.044,0.058,0.028,0.024,0.014,0.006,4,11
