team,year,conf_wins,conf_losses,wins,losses,major_wins,major_losses,mid_major_wins,mid_major_losses,o_reb_rate,d_reb_rate,off_rating,def_rating,net_rating,sos_off,sos_def,sos_net,to_rate_off,to_rate_def,steal_rate,opp_steal_rate,pace,ftf,ftf_opp,conference,conf_avg_net,At-Large,DNQ,prob,max_prob,projected_champ,desc,seed_1,seed_2,seed_3,seed_4,seed_5,seed_6,seed_7,seed_8,seed_9,seed_10,seed_11,seed_12,seed_13,seed_14,seed_15,seed_16,pred_seed,rank
South Carolina,2015,15,0,27,1,20,0,2,1,0.43106995884773663,0.7020109689213894,112.62993762993764,76.5527950310559,36.077142598881736,91.58699386959664,88.99191131270477,-2.595082556891868,0.21417797888386125,0.19076923076923075,0.10105580693815988,0.09230769230769233,66.3,0.24043715846994537,0.22357019064124783,SEC,9.8657478121229,0.908,0.092,0.62,0.62,1,In,0.632,0.186,0.07,0.004,0.014,0.016,0.01,0.02,0,0.004,0.006,0.018,0.016,0,0.004,0,1,1
UConn,2015,17,0,28,1,8,1,17,0,0.41339001062699254,0.7080696202531646,126.34146341463416,65.59610705596107,60.74535635867308,102.27641204064967,82.83660247980191,-19.43980956084778,0.17466666666666666,0.2247340425531915,0.12,0.08377659574468085,68.18181818181819,0.17604617604617603,0.08651026392961877,American,-24.698795699505272,0.848,0.152,1,1,1,In,0.626,0.09,0.064,0.004,0.024,0.04,0.038,0.022,0.002,0.008,0.02,0.036,0.018,0.004,0.002,0.002,1,2
Maryland,2015,17,0,26,2,17,2,2,0,0.4391217564870259,0.6976102941176471,112.3334977799704,84.14814814814815,28.18534963182223,94.90638473264656,90.35738008325416,-4.549004649392423,0.19878603945371776,0.18250377073906485,0.0819423368740516,0.10256410256410256,65.9,0.24310344827586208,0.17667238421955403,Big Ten,7.110263138530052,0.952,0.048,0.53,0.53,1,In,0.472,0.23,0.1,0.024,0.048,0.026,0.01,0.012,0.004,0.01,0.012,0.032,0.01,0.006,0.004,0,1,3
Notre Dame,2015,14,1,27,2,21,1,1,1,0.4014300306435138,0.6863905325443787,114.48243114909782,82.47863247863248,32.00379867046534,95.94118695585723,92.27501186482068,-3.666175091036561,0.21220159151193635,0.18840579710144928,0.09814323607427056,0.10408432147562582,68.54545454545455,0.17251908396946564,0.1343065693430657,ACC,9.024145210577522,0.958,0.042,0.66,0.66,1,In,0.444,0.36,0.104,0.012,0.01,0.018,0.006,0.02,0,0,0.004,0.01,0.006,0.004,0,0.002,1,4
Tennessee,2015,14,1,24,4,17,3,1,0,0.4117091595845137,0.6856617647058824,105.69785676947204,80.87318087318087,24.82467589629115,91.82113674497909,91.08119695824008,-0.7399397867390104,0.21760797342192692,0.21947194719471944,0.09966777408637874,0.1122112211221122,65.97260273972603,0.21415270018621976,0.12570356472795496,SEC,9.8657478121229,0.954,0.046,0.35,0.62,0,In,0.324,0.3,0.156,0.056,0.052,0.016,0.016,0.014,0.006,0.014,0.01,0.016,0.008,0.006,0.006,0,1,5
Oregon State,2015,15,2,24,3,17,3,5,0,0.3625254582484725,0.7235099337748344,108.23774765380604,82.0539419087137,26.183805745092357,98.7671623608927,91.8134866603093,-6.953675700583411,0.1933085501858736,0.15298507462686567,0.09293680297397768,0.1082089552238806,67.25,0.2236842105263158,0.14741035856573706,Pac-12,5.4734282620218595,0.954,0.046,0.41,0.41,1,In,0.29,0.234,0.28,0.034,0.032,0.044,0.018,0.018,0.004,0.008,0.01,0.02,0.004,0.004,0,0,1,6
Baylor,2015,15,2,26,3,18,3,1,0,0.4109461966604824,0.7322175732217573,110.63327032136104,81.45853193517635,29.1747383861847,94.81250093386367,91.96469334420154,-2.8478075896621275,0.1819645732689211,0.18923327895595432,0.1111111111111111,0.09461663947797716,69,0.24906367041198504,0.17896678966789667,Big 12,9.154994454054123,0.966,0.034,0.87,0.87,1,In,0.318,0.396,0.146,0.03,0.03,0.012,0.002,0.018,0,0.008,0.008,0.024,0.006,0.002,0,0,2,7
Florida State,2015,13,2,26,3,15,3,3,0,0.4576719576719577,0.719634703196347,105.40284360189574,78.84980988593155,26.55303371596419,98.1570138045837,90.98304267123252,-7.173971133351172,0.232,0.2540453074433657,0.1088,0.1116504854368932,69.44444444444444,0.2222222222222222,0.19467213114754095,ACC,9.024145210577522,0.95,0.05,0.06,0.66,0,In,0.204,0.256,0.176,0.07,0.072,0.06,0.026,0.028,0.012,0.016,0.02,0.042,0.006,0.006,0.002,0.004,2,8
Louisville,2015,12,3,24,4,14,4,2,0,0.40498154981549817,0.7113207547169811,104.8216976393772,79.27927927927928,25.542418360097912,95.21106049199204,92.43592050438546,-2.775139987606585,0.1996007984031936,0.29411764705882354,0.16966067864271456,0.0784313725490196,70.3157894736842,0.248868778280543,0.2826086956521739,ACC,9.024145210577522,0.982,0.018,0.21,0.66,0,In,0.108,0.166,0.284,0.072,0.1,0.112,0.008,0.046,0.008,0.016,0.026,0.036,0.008,0.002,0.006,0.002,3,9
Arizona State,2015,14,3,25,4,18,3,2,0,0.37245392822502427,0.7144362486828241,103.42679127725856,84.96083550913838,18.465955768120185,94.11242652895297,92.67709713422694,-1.4353293947260055,0.24423963133640553,0.2689655172413793,0.12672811059907835,0.1310344827586207,62,0.27887323943661974,0.14814814814814814,Pac-12,5.4734282620218595,0.972,0.028,0.35,0.41,0,In,0.096,0.226,0.372,0.078,0.04,0.024,0.024,0.02,0.024,0.036,0.03,0.014,0.008,0.004,0.004,0,3,10
