team,year,conf_wins,conf_losses,wins,losses,major_wins,major_losses,mid_major_wins,mid_major_losses,o_reb_rate,d_reb_rate,off_rating,def_rating,net_rating,sos_off,sos_def,sos_net,to_rate_off,to_rate_def,steal_rate,opp_steal_rate,pace,ftf,ftf_opp,conference,conf_avg_net,At-Large,DNQ,prob,max_prob,projected_champ,desc,seed_1,seed_2,seed_3,seed_4,seed_5,seed_6,seed_7,seed_8,seed_9,seed_10,seed_11,seed_12,seed_13,seed_14,seed_15,seed_16,pred_seed,rank
Gonzaga,2017,17,1,29,1,5,0,19,1,0.3064853556485356,0.7396166134185304,120.37647058823528,87.35196589294173,33.024504695293544,103.66456703649816,104.30149268822404,0.63692565172587,0.16191500806885423,0.1879413362303096,0.1043571812802582,0.07930472569255839,71.5,0.29564652371669914,0.17160883280757097,WCC,4.12695464376049,0.764,0.236,0.73,0.73,1,In,0.638,0.068,0.03,0.032,0.026,0.01,0.046,0.016,0,0.054,0.048,0.016,0,0.014,0.002,0,1,1
Kansas,2017,15,2,26,3,20,3,2,0,0.3449575871819039,0.6949006050129646,115.3308480894688,100.421151146467,14.909696943001777,99.11519270187176,108.45049436177491,9.335301659903172,0.1811175337186898,0.18985507246376812,0.09778420038535646,0.09710144927536232,70.67234042553191,0.2437641723356009,0.21871476888387825,Big 12,10.101033758274358,0.984,0.016,0.2,0.34,0,In,0.606,0.268,0.06,0.016,0.008,0.02,0,0.004,0.002,0,0.002,0.012,0.002,0,0,0,1,2
Villanova,2017,14,3,26,3,18,3,5,0,0.29988465974625145,0.7251461988304093,119.12820512820512,96.74134419551936,22.386860932685774,101.4228605848683,107.90851132454112,6.485650739672765,0.1768893756845564,0.2010869565217391,0.1095290251916758,0.08152173913043478,65.21428571428571,0.27984084880636606,0.15992414664981036,Big East,7.404722964173663,0.972,0.028,0.64,0.64,1,In,0.566,0.232,0.078,0.054,0.012,0.014,0.01,0.008,0.008,0,0.004,0.008,0.004,0.002,0,0,1,3
Oregon,2017,15,2,25,4,17,4,4,0,0.33298647242455776,0.7026291931097008,115.6767283349562,93.92185238784371,21.75487594711248,102.17202896645102,106.45457578861622,4.282546822165219,0.17353951890034364,0.2028328611898017,0.0990836197021764,0.06912181303116147,67.15384615384616,0.23505708529214236,0.18762343647136273,Pac-12,5.872754444872883,1,0,0.37,0.37,1,In,0.416,0.16,0.234,0.076,0.03,0.018,0.024,0.008,0.006,0,0.012,0.012,0.004,0,0,0,1,4
North Carolina,2017,13,4,24,6,16,6,3,0,0.42512908777969016,0.7528089887640449,118.25930910722298,97.13774597495528,21.121563132267696,102.32843190892964,107.30972486791092,4.981292958981247,0.16761510605276772,0.19052523171987645,0.09467149508535956,0.08599382080329557,71.2626728110599,0.23314606741573032,0.2093167701863354,ACC,9.175636223689656,0.984,0.016,0.25,0.25,1,In,0.338,0.094,0.174,0.126,0.07,0.048,0.048,0.054,0.02,0.004,0.016,0.002,0.004,0.002,0,0,1,5
Arizona,2017,15,2,26,4,18,3,2,1,0.33804347826086956,0.7281191806331471,114.4956918398378,96.89067201604814,17.60501982378966,101.18942829643476,106.7013298075895,5.51190151115473,0.17357105401153644,0.18318629994810587,0.0854745673833246,0.07213284898806435,65.75862068965517,0.3023110555902561,0.17406962785114047,Pac-12,5.872754444872883,0.968,0.032,0.33,0.37,0,In,0.252,0.548,0.074,0.032,0.022,0.018,0.018,0.008,0.008,0.002,0.006,0.01,0.002,0,0,0,2,6
Kentucky,2017,14,2,24,5,17,5,1,0,0.3467889908256881,0.7280939476061428,116.3619744058501,96.6039467645709,19.7580276412792,101.71437804069116,105.87024593568626,4.155867894995149,0.175,0.16806722689075632,0.06388888888888888,0.05042016806722689,72,0.3116438356164384,0.1715210355987055,SEC,5.1363699107614895,0.99,0.01,0.49,0.49,1,In,0.25,0.322,0.15,0.102,0.054,0.044,0.028,0.006,0.004,0.008,0.006,0.018,0.006,0.002,0,0,2,7
Louisville,2017,11,5,23,6,14,6,3,0,0.3642322097378277,0.7097674418604651,113.33668847508808,93.65317341329336,19.683515061794708,99.6560014170602,108.51347891510396,8.857477498043776,0.16219119226638024,0.20811099252934895,0.10526315789473684,0.07310565635005337,68.3302752293578,0.23737980769230768,0.27314814814814814,ACC,9.175636223689656,0.97,0.03,0.25,0.25,1,In,0.076,0.276,0.14,0.122,0.092,0.064,0.09,0.032,0.04,0.034,0.016,0.012,0.004,0.002,0,0,2,8
UCLA,2017,13,3,26,3,18,3,4,0,0.3017875920084122,0.7171548117154811,123.24825986078886,101.95348837209302,21.294771488695844,103.20483262280914,106.02540762412278,2.820575001313627,0.15609514370664024,0.16276754604280735,0.08473736372646185,0.09009457441513193,74.74074074074073,0.20204313280363223,0.17430167597765364,Pac-12,5.872754444872883,0.928,0.072,0.22,0.37,0,In,0.296,0.118,0.42,0.052,0.028,0.022,0.016,0,0.002,0.002,0.026,0.012,0.004,0.002,0,0,3,9
Florida,2017,13,3,23,6,16,5,1,1,0.32825880114176975,0.6960227272727273,113.22803553800594,93.3852140077821,19.842821530223844,99.96044011237348,106.80272714237772,6.8422870300042575,0.17251908396946564,0.21625689914701457,0.1089058524173028,0.07777220270948319,69.86666666666666,0.2990936555891239,0.24336009882643608,SEC,5.1363699107614895,0.992,0.008,0.32,0.49,0,In,0.124,0.174,0.244,0.194,0.104,0.024,0.026,0.028,0.016,0.012,0.016,0.018,0.01,0.008,0.002,0,3,10
Baylor,2017,11,6,22,6,16,6,1,0,0.399364406779661,0.7089552238805971,112.78350515463916,97.29870129870127,15.484803855937884,101.22342957707384,107.2837145291542,6.060284952080339,0.21162046908315563,0.17470525187566988,0.07835820895522388,0.08520900321543408,64.6896551724138,0.253416149068323,0.21507352941176472,Big 12,10.101033758274358,0.982,0.018,0.21,0.34,0,In,0.068,0.092,0.356,0.064,0.134,0.11,0.058,0.044,0.018,0.024,0.02,0.008,0.002,0.002,0,0,3,11
Wisconsin,2017,11,5,22,7,16,7,0,0,0.3619329388560158,0.7497446373850868,112.0443740095087,95.3414505029116,16.702923506597102,101.36643298891566,106.64852565023864,5.282092661323009,0.1674233825198638,0.20261809903244168,0.10669693530079456,0.08195788275469551,64.36529680365297,0.2266072565245067,0.1997264021887825,Big Ten,7.6039747172281125,0.966,0.034,0.16,0.44,0,In,0.048,0.104,0.222,0.144,0.124,0.142,0.08,0.058,0.028,0.02,0.02,0.006,0.004,0,0,0,3,12
Creighton,2017,9,7,20,7,15,7,2,0,0.2476290832455216,0.699909338168631,115.38828013339686,101.20365912373616,14.184621009660688,103.19091376941182,107.2087289358792,4.01781516646735,0.16666666666666666,0.1967892283790782,0.08923076923076922,0.09062661833247022,72.22222222222223,0.1866261398176292,0.18636911942098913,Big East,7.404722964173663,0.934,0.066,0.11,0.64,0,In,0.024,0.042,0.166,0.136,0.136,0.14,0.098,0.062,0.07,0.046,0.06,0.002,0.012,0.004,0.002,0,3,13
