team,year,conf_wins,conf_losses,wins,losses,major_wins,major_losses,mid_major_wins,mid_major_losses,o_reb_rate,d_reb_rate,off_rating,def_rating,net_rating,sos_off,sos_def,sos_net,to_rate_off,to_rate_def,steal_rate,opp_steal_rate,pace,ftf,ftf_opp,conference,conf_avg_net,At-Large,DNQ,prob,max_prob,projected_champ,desc,seed_1,seed_2,seed_3,seed_4,seed_5,seed_6,seed_7,seed_8,seed_9,seed_10,seed_11,seed_12,seed_13,seed_14,seed_15,seed_16,pred_seed,rank
Syracuse,2012,16,1,29,1,20,1,3,0,0.36973180076628354,0.6113615870153292,115.24822695035462,92.19066937119676,23.057557579157873,98.65754364809152,103.34506698065827,4.687523332566766,0.1590678824721378,0.2581135902636917,0.14994934143870314,0.07961460446247465,65.52697095435684,0.2190105614230128,0.20755848830233953,Big East,7.109582912429209,0.97,0.03,0.54,0.54,1,In,0.822,0.104,0.04,0.008,0.01,0.008,0,0.004,0,0,0,0.004,0,0,0,0,1,1
Kentucky,2012,14,0,28,1,19,1,1,0,0.3894849785407725,0.6849557522123894,117.74530271398748,89.64248159831756,28.10282111566991,99.21045508751342,102.66389668770606,3.4534416001926393,0.17745302713987474,0.19137749737118823,0.09812108559498955,0.083596214511041,66.06896551724138,0.2978075517661389,0.1763668430335097,SEC,6.813514750047644,0.98,0.02,0.73,0.73,1,In,0.768,0.096,0.066,0.018,0.02,0.004,0.004,0.008,0.002,0.004,0.004,0.004,0,0,0.002,0,1,2
Kansas,2012,15,2,25,4,20,4,0,0,0.35,0.7215799614643545,112.01650335224342,90.50567595459236,21.510827397651056,98.18241434692484,105.4335954976236,7.251181150698747,0.19855595667870035,0.21568627450980393,0.10933470861268696,0.09958720330237358,66.57510729613735,0.2769423558897243,0.23794416243654823,Big 12,8.460428111947618,0.988,0.012,0.46,0.46,1,In,0.43,0.372,0.084,0.058,0.026,0.008,0.002,0.006,0.002,0,0,0.004,0.008,0,0,0,1,3
North Carolina,2012,12,2,25,4,16,3,1,1,0.411660777385159,0.7220367278797997,113.47348303870044,91.63879598662209,21.834687052078365,98.77293110417416,102.3548781257027,3.58194702152854,0.16674629718107978,0.1863354037267081,0.0965121834687052,0.08552317247969422,72.17241379310344,0.2554204124801692,0.14109442060085836,ACC,5.644201435826626,0.956,0.044,0.48,0.48,1,In,0.38,0.098,0.14,0.072,0.064,0.068,0.036,0.066,0.022,0.008,0.012,0.026,0.006,0.002,0,0,1,4
Michigan State,2012,13,4,23,6,14,6,3,0,0.3850156087408949,0.7288602941176471,110.44012282497442,89.86625514403292,20.573867680941504,95.87966172363664,105.33164826256083,9.451986538924189,0.20419651995905835,0.20421810699588475,0.11566018423746162,0.095679012345679,64.86307053941908,0.27007299270072993,0.2370555208983157,Big Ten,8.982387261247203,0.958,0.042,0.41,0.41,1,In,0.27,0.114,0.17,0.116,0.104,0.066,0.052,0.032,0.026,0.03,0.012,0.006,0,0.002,0,0,1,5
Duke,2012,13,2,26,4,19,3,2,1,0.3505859375,0.6870437956204379,115.90019569471625,99.4188861985472,16.48130949616902,99.54237625902076,104.58253267675744,5.040156417736664,0.1819960861056751,0.18886198547215496,0.09099804305283755,0.08668280871670703,67.5702479338843,0.32386027235050324,0.21889140271493213,ACC,5.644201435826626,0.978,0.022,0.26,0.48,0,In,0.348,0.43,0.068,0.04,0.032,0.034,0.006,0.012,0.008,0.004,0.002,0.014,0.002,0,0,0,2,6
Missouri,2012,12,4,25,4,16,4,0,0,0.30839002267573695,0.6893704850361198,120.41666666666666,98.23468328141225,22.181983385254412,98.79351330524392,102.37983125456924,3.586317949325315,0.15833333333333333,0.2222222222222222,0.128125,0.0794392523364486,65.92274678111588,0.29207920792079206,0.18516209476309228,Big 12,8.460428111947618,0.978,0.022,0.3,0.46,0,In,0.202,0.248,0.144,0.144,0.048,0.046,0.066,0.014,0.024,0.02,0.016,0.016,0.004,0.004,0.002,0.002,2,7
Baylor,2012,12,5,24,5,15,5,3,0,0.379746835443038,0.6764705882352942,111.91191191191191,94.3640897755611,17.547822136350817,97.5355768171746,103.39043314270172,5.854856325527144,0.21371371371371373,0.22194513715710723,0.11861861861861862,0.10224438902743142,66.32365145228216,0.2702702702702703,0.2009484291641968,Big 12,8.460428111947618,0.984,0.016,0.14,0.46,0,In,0.12,0.13,0.286,0.14,0.038,0.066,0.036,0.092,0.038,0.014,0.002,0.03,0.004,0.004,0,0,3,8
Marquette,2012,13,3,24,5,16,5,0,0,0.3387589013224822,0.6429906542056075,110.30876494023904,94.1351888667992,16.173576073439847,99.50996547819824,101.45196985058408,1.9420043723858016,0.18376494023904383,0.24453280318091453,0.12898406374501992,0.0989065606361829,69.24137931034483,0.29994001199760045,0.2071641791044776,Big East,7.109582912429209,0.904,0.096,0.09,0.54,0,In,0.09,0.122,0.354,0.11,0.038,0.058,0.022,0.036,0.034,0.014,0.028,0.064,0.012,0.012,0.006,0,3,9
Ohio State,2012,11,5,23,6,14,6,1,0,0.3507853403141361,0.7526096033402923,112.63650546021842,86.98594482040603,25.650560639812383,99.40684361807692,102.93100009363576,3.5241564755588515,0.17732709308372335,0.2404997397188964,0.1123244929797192,0.07287870900572618,66.3103448275862,0.2682926829268293,0.1962864721485411,Big Ten,8.982387261247203,0.944,0.056,0.41,0.41,1,In,0.084,0.162,0.164,0.106,0.134,0.092,0.07,0.032,0.026,0.078,0.014,0.024,0.01,0.002,0.002,0,3,10
