team,year,conf_wins,conf_losses,wins,losses,major_wins,major_losses,mid_major_wins,mid_major_losses,o_reb_rate,d_reb_rate,off_rating,def_rating,net_rating,sos_off,sos_def,sos_net,to_rate_off,to_rate_def,steal_rate,opp_steal_rate,pace,ftf,ftf_opp,conference,conf_avg_net,At-Large,DNQ,prob,max_prob,projected_champ,desc,seed_1,seed_2,seed_3,seed_4,seed_5,seed_6,seed_7,seed_8,seed_9,seed_10,seed_11,seed_12,seed_13,seed_14,seed_15,seed_16,pred_seed,rank
Baylor,2019,16,0,26,1,19,1,1,0,0.4100877192982456,0.7574722459436379,112.53869969040248,77.01149425287356,35.527205437528906,93.1046280692823,95.47887616659108,2.3742480973087834,0.16998827667057445,0.2007125890736342,0.10199296600234468,0.07838479809976247,71.08333333333333,0.19283065512978984,0.1905424200278164,Big 12,10.169262136437888,0.984,0.016,0.75,0.75,1,In,0.512,0.308,0.066,0.014,0.032,0.008,0.016,0.014,0,0.008,0.002,0.014,0.004,0.002,0,0,1,1
Mississippi State,2019,13,0,25,1,17,1,0,0,0.48478488982161594,0.7034764826175869,122.73458445040217,78.48305540613232,44.25152904426983,94.62850380171524,92.42880387945772,-2.199699922257504,0.1555232558139535,0.2707736389684814,0.11918604651162792,0.08595988538681948,68.8,0.2659235668789809,0.1855855855855856,SEC,8.942546455818782,0.946,0.054,0.99,0.99,1,In,0.42,0.238,0.166,0.03,0.028,0.024,0.008,0.016,0.004,0.01,0.008,0.02,0.014,0.006,0.006,0.002,1,2
Notre Dame,2019,13,2,26,3,18,2,3,1,0.4108216432865732,0.6807661612130886,116.43835616438356,84.06264394288347,32.375712221500095,90.73426051017404,99.30004686291572,8.565786352741727,0.14956736711990112,0.1658291457286432,0.09641532756489492,0.07035175879396985,73.54545454545455,0.19924337957124844,0.11007957559681696,ACC,8.587854821630735,0.972,0.028,0.71,0.71,1,In,0.414,0.304,0.134,0.028,0.038,0.026,0.012,0.014,0.002,0.002,0.012,0.004,0.006,0.002,0.002,0,1,3
UConn,2019,14,0,26,2,11,2,15,0,0.35157894736842105,0.7101200686106347,118.59525012632643,78.19013726487036,40.405112861456075,88.9757668649172,94.13195042461578,5.1561835596985715,0.1732283464566929,0.19947159841479525,0.10498687664041996,0.0845442536327609,69.27272727272728,0.2257100149476831,0.16033755274261605,American,3.4400695998380235,0.824,0.176,0.99,0.99,1,In,0.294,0.21,0.076,0.028,0.056,0.072,0.034,0.06,0.016,0.032,0.042,0.058,0.014,0.004,0.004,0,1,4
NC State,2019,11,3,24,3,15,3,3,0,0.34782608695652173,0.7449428320140721,105.51948051948052,84.78027867095392,20.739201848526605,90.67470344250842,94.5644239878048,3.88972054529635,0.18097014925373137,0.1323529411764706,0.04850746268656716,0.09558823529411764,67,0.23194748358862144,0.111328125,ACC,8.587854821630735,0.94,0.06,0.05,0.71,0,In,0.216,0.216,0.204,0.1,0.048,0.082,0.042,0.032,0.004,0.014,0.012,0.024,0,0.002,0.002,0.002,1,5
Louisville,2019,12,2,25,2,15,2,4,0,0.3384615384615385,0.6692456479690522,112.88278775079196,84.46088794926004,28.42189980153192,93.2794429939643,96.13606680329336,2.856623809329074,0.15261627906976744,0.24347826086956523,0.11046511627906976,0.05507246376811594,68.8,0.14285714285714285,0.15992970123022848,ACC,8.587854821630735,0.97,0.03,0.23,0.71,0,In,0.286,0.292,0.156,0.046,0.036,0.056,0.026,0.034,0.012,0.01,0.02,0.02,0.004,0.002,0,0,2,6
Oregon,2019,14,2,24,3,16,3,4,0,0.3513824884792627,0.7309197651663405,125.96938775510203,90.40742650850952,35.56196124659252,96.51853042575588,99.51726120121918,2.9987307754633363,0.1489071038251366,0.1547945205479452,0.09153005464480876,0.0684931506849315,65.79775280898876,0.16011644832605532,0.16591251885369532,Pac-12,9.952113304685506,0.988,0.012,0.76,0.76,1,In,0.218,0.402,0.116,0.056,0.064,0.034,0.016,0.056,0.008,0.004,0.012,0.006,0.006,0.002,0,0,2,7
Maryland,2019,13,3,24,3,16,3,2,0,0.3863393810032017,0.7090747330960854,105.5439330543933,84.09448818897638,21.44944486541692,89.87437638150067,91.17202753288136,1.297651151380708,0.21862348178137653,0.1927710843373494,0.11336032388663968,0.12248995983935744,70.57142857142857,0.20140515222482436,0.20758928571428573,Big Ten,7.452579452347071,0.964,0.036,0.31,0.43,0,In,0.142,0.284,0.248,0.084,0.06,0.038,0.032,0.018,0.008,0.032,0.022,0.014,0.012,0.002,0.002,0.002,2,8
Stanford,2019,13,3,23,4,15,3,2,1,0.34067085953878407,0.7191650853889943,107.51445086705202,87.89942378208487,19.615027084967153,91.7777712027698,100.33502314013546,8.55725193736563,0.17691154422788605,0.1634182908545727,0.10494752623688156,0.095952023988006,66.7,0.15,0.16749585406301823,Pac-12,9.952113304685506,0.982,0.018,0.04,0.76,0,In,0.134,0.288,0.208,0.076,0.078,0.064,0.048,0.034,0.012,0.02,0.018,0.012,0.006,0.002,0,0,2,9
Iowa,2019,12,4,21,6,14,6,2,0,0.3228915662650602,0.6894689468946895,113.43832020997375,96.74540682414698,16.69291338582677,92.26330442244632,99.38379852751156,7.120494105065246,0.22653721682847897,0.15569823434991975,0.08737864077669903,0.14285714285714285,68.66666666666666,0.22040816326530613,0.09515859766277128,Big Ten,7.452579452347071,0.916,0.084,0.43,0.43,1,In,0.028,0.196,0.182,0.146,0.09,0.102,0.116,0.062,0.022,0.046,0.002,0.008,0,0,0,0,2,10
Marquette,2019,14,2,23,5,16,5,1,0,0.37673956262425445,0.7411444141689373,113.87814313346227,82.79362010633156,31.08452302713071,93.25084827039409,94.9038708926233,1.6530226222292017,0.17921146953405018,0.21314387211367672,0.12724014336917563,0.06927175843694494,68.67692307692307,0.1600790513833992,0.12704918032786883,Big East,6.1488780473492275,0.998,0.002,0.91,0.91,1,In,0.148,0.17,0.268,0.15,0.162,0.03,0.01,0.036,0.002,0.014,0.004,0.004,0,0.002,0,0,3,11
Iowa State,2019,11,5,20,7,14,6,2,0,0.30525272547076315,0.7363138686131386,108.45,86.79339669834918,21.65660330165082,89.13272041071558,97.68177449790994,8.549054087194381,0.18804920913884007,0.1945392491467577,0.07381370826010544,0.07849829351535836,71.125,0.22857142857142856,0.1586073500967118,Big 12,10.169262136437888,0.96,0.04,0.22,0.75,0,In,0.032,0.026,0.322,0.21,0.096,0.13,0.082,0.03,0.026,0.03,0.006,0.006,0,0.004,0,0,3,12
