team,year,conf_wins,conf_losses,wins,losses,major_wins,major_losses,mid_major_wins,mid_major_losses,o_reb_rate,d_reb_rate,off_rating,def_rating,net_rating,sos_off,sos_def,sos_net,to_rate_off,to_rate_def,steal_rate,opp_steal_rate,pace,ftf,ftf_opp,conference,conf_avg_net,At-Large,DNQ,prob,max_prob,projected_champ,desc,seed_1,seed_2,seed_3,seed_4,seed_5,seed_6,seed_7,seed_8,seed_9,seed_10,seed_11,seed_12,seed_13,seed_14,seed_15,seed_16,pred_seed,rank
Kentucky,2015,16,0,29,0,22,0,1,0,0.41119483315392896,0.6789667896678967,117.1875,82.94782140935986,34.23967859064014,98.7603078287681,101.31406672977036,2.5537589010022455,0.1724137931034483,0.22538999462076384,0.10614224137931036,0.08015061861215707,63.18297872340426,0.30526315789473685,0.20790816326530612,SEC,6.306837973361164,0.872,0.128,0.85,0.85,1,In,0.76,0.108,0.06,0.01,0.01,0.008,0.004,0.002,0.004,0.006,0.006,0.01,0.002,0.01,0,0,1,1
Villanova,2015,14,2,27,2,17,2,4,0,0.3264864864864865,0.691699604743083,117.3076923076923,93.10163243812532,24.206059869566985,101.23398805332891,103.08456609346918,1.8505780401402636,0.1696132596685083,0.221012520413718,0.12044198895027625,0.08873162765378334,64.070796460177,0.31851360318513605,0.21166448230668417,Big East,7.0648476972921745,0.928,0.072,0.65,0.65,1,In,0.596,0.142,0.108,0.024,0.026,0.034,0.012,0.014,0.006,0,0.006,0.022,0.006,0.002,0.002,0,1,2
Wisconsin,2015,13,2,25,3,17,3,2,0,0.3149700598802395,0.766029246344207,120.84337349397592,93.17365269461078,27.669720799365138,98.72228276502604,102.86005015493777,4.137767389911686,0.1201828870019595,0.16353017521090202,0.07119529719137818,0.06229720960415315,58.60287081339713,0.28928046989721,0.14243542435424356,Big Ten,8.884418977707554,0.96,0.04,0.52,0.52,1,In,0.474,0.204,0.086,0.1,0.022,0.03,0.022,0.006,0.01,0.004,0.022,0.012,0.004,0.004,0,0,1,3
Virginia,2015,15,1,27,1,17,1,4,0,0.33916083916083917,0.7579162410623085,113.49693251533743,85.68807339449542,27.808859120842015,98.86483396339328,103.89067404484396,5.025840081450653,0.15059445178335534,0.1736842105263158,0.0904887714663144,0.07960526315789473,57.67619047619047,0.2551928783382789,0.17447129909365558,ACC,8.431662853587184,0.98,0.02,0.5,0.5,1,In,0.428,0.384,0.06,0.046,0.03,0.02,0.014,0.006,0.004,0.002,0.002,0.004,0,0,0,0,1,4
Duke,2015,12,3,25,3,16,3,3,0,0.3703703703703703,0.7066929133858267,121.93548387096772,98.88059701492536,23.05488685604236,101.55981408563306,105.449069286278,3.889255200644897,0.16782407407407407,0.18646012621916236,0.10648148148148148,0.08032128514056225,65.82857142857142,0.2868741542625169,0.16994750656167978,ACC,8.431662853587184,0.97,0.03,0.32,0.5,0,In,0.402,0.092,0.122,0.1,0.038,0.074,0.04,0.018,0.046,0.01,0.026,0.02,0.01,0.002,0,0,1,5
Utah,2015,12,3,21,5,12,4,4,1,0.3111395646606914,0.723535457348407,116.1461402474956,88.60011813349085,27.546022114004742,100.71458846392504,104.35307432446643,3.6384858605413792,0.1826753093694755,0.19432959243945655,0.10194460813199764,0.09037212049616068,62.56221198156682,0.30116959064327486,0.2107843137254902,Pac-12,6.429269236933417,0.89,0.11,0.45,0.5,0,In,0.214,0.056,0.084,0.068,0.194,0.066,0.072,0.062,0.042,0.032,0.038,0.032,0.018,0.016,0.004,0.002,1,6
Gonzaga,2015,17,0,28,1,4,1,20,0,0.34777651083238315,0.7235345581802275,123.83690538421328,92.5064599483204,31.33044543589287,105.87622245138918,102.5941542480298,-3.282068203359383,0.159375,0.17479925880172947,0.095,0.08153180975911056,63.681592039801,0.2702702702702703,0.21495327102803735,WCC,4.755301157499816,0.614,0.386,0.67,0.67,1,In,0.294,0.338,0.016,0.054,0.008,0.012,0.062,0.03,0.002,0.03,0.022,0.078,0.026,0.022,0.004,0.002,2,7
Arizona,2015,13,2,25,3,16,2,2,1,0.3428246013667426,0.7771855010660981,114.63282937365013,88.40970350404312,26.22312586960699,100.00194035409552,104.2035432170028,4.201602862907259,0.1745664739884393,0.21920185078079815,0.1115606936416185,0.07345286292654714,66.22009569377991,0.31878958479943703,0.2509419743782969,Pac-12,6.429269236933417,0.924,0.076,0.5,0.5,1,In,0.264,0.274,0.112,0.078,0.088,0.024,0.042,0.026,0.016,0.014,0.026,0.024,0,0.012,0,0,2,8
Kansas,2015,12,4,23,6,17,5,3,1,0.3567073170731707,0.6876138433515483,109.3011035207567,98.47609038360484,10.82501313715187,95.08046099729177,106.53063450477435,11.450173507482564,0.18421052631578944,0.1749271137026239,0.1023391812865497,0.08688046647230321,65.76923076923077,0.2874913614374568,0.2160737812911726,Big 12,9.495102764111575,0.984,0.016,0.13,0.27,0,In,0.172,0.306,0.16,0.138,0.06,0.07,0.014,0.026,0.022,0.014,0.004,0.002,0.008,0.002,0.002,0,2,9
Notre Dame,2015,12,4,24,5,14,5,2,0,0.28798185941043086,0.6962391513982642,122.54273504273505,101.17333333333332,21.36940170940171,103.49781644093947,101.98791197496456,-1.5099044659749166,0.1436965811965812,0.176,0.1047008547008547,0.07786666666666667,63.45762711864407,0.25154894671623296,0.16182572614107885,ACC,8.431662853587184,0.866,0.134,0.07,0.5,0,In,0.07,0.052,0.18,0.08,0.092,0.026,0.054,0.036,0.022,0.01,0.05,0.168,0.094,0.05,0.008,0.008,3,10
