team,year,conf_wins,conf_losses,wins,losses,major_wins,major_losses,mid_major_wins,mid_major_losses,o_reb_rate,d_reb_rate,off_rating,def_rating,net_rating,sos_off,sos_def,sos_net,to_rate_off,to_rate_def,steal_rate,opp_steal_rate,pace,ftf,ftf_opp,conference,conf_avg_net,At-Large,DNQ,prob,max_prob,projected_champ,desc,seed_1,seed_2,seed_3,seed_4,seed_5,seed_6,seed_7,seed_8,seed_9,seed_10,seed_11,seed_12,seed_13,seed_14,seed_15,seed_16,pred_seed,rank
Kansas,2016,13,3,24,4,17,4,1,0,0.32710280373831774,0.7195233730522457,116.60916707737805,96.8996062992126,19.709560778165425,101.39928772249068,106.32951287014248,4.930225147651783,0.1789306511381683,0.19556025369978855,0.09528851244044469,0.08773784355179703,68.69090909090909,0.27416298168035375,0.2729608220937701,Big 12,8.79719834312284,0.994,0.006,0.29,0.32,0,In,0.388,0.242,0.15,0.106,0.046,0.02,0.004,0.006,0.008,0.002,0.006,0.014,0.006,0,0.002,0,1,1
Xavier,2016,13,4,25,4,19,4,3,0,0.3565300285986654,0.7377938517179023,112.984496124031,97.2101972101972,15.774298913833803,101.309851165889,106.81432152105177,5.5044703551627325,0.17591973244147158,0.1978680879413724,0.10367892976588627,0.08261159227181879,71.19047619047619,0.2978723404255319,0.23667205169628433,Big East,6.46754225439252,0.998,0.002,0.25,0.48,0,In,0.362,0.358,0.118,0.052,0.016,0.032,0.012,0.014,0.006,0.002,0.008,0.01,0.008,0.002,0,0,1,2
Miami,2016,12,4,23,5,17,4,1,0,0.30497237569060776,0.7012732615083251,115.97826086956522,100.1618996222342,15.816361247331017,102.74681580137464,110.25891664090425,7.512100839529546,0.16422466422466422,0.1742562234365513,0.08974358974358974,0.08378870673952642,65.19402985074626,0.2947976878612717,0.17364447494852436,ACC,8.558223689554598,0.978,0.022,0.15,0.27,0,In,0.272,0.242,0.192,0.118,0.068,0.028,0.018,0.01,0.014,0.006,0.006,0.01,0.012,0,0.004,0,1,3
North Carolina,2016,12,4,23,6,16,5,3,1,0.3907933398628795,0.6997319034852547,117.48421563865952,100.49115913555993,16.99305650309961,103.8004997153673,108.07494070669196,4.27444099132467,0.15460526315789477,0.18812351543942993,0.09727443609022556,0.08123515439429929,70.93333333333334,0.23860727086533537,0.20913593835993396,ACC,8.558223689554598,0.958,0.042,0.18,0.27,0,In,0.254,0.086,0.198,0.14,0.074,0.07,0.038,0.026,0.038,0.018,0.028,0.014,0.008,0.002,0.006,0,1,4
Indiana,2016,13,3,23,6,16,5,0,1,0.3775620280474649,0.7195715676728335,120.51153460381144,100.05020080321285,20.46133380059858,104.32565514437158,104.76267328364676,0.43701813927521016,0.189873417721519,0.1885593220338983,0.09282700421940927,0.0847457627118644,67.71428571428571,0.2158273381294964,0.12735849056603774,Big Ten,7.557522869813085,0.862,0.138,0.18,0.31,0,In,0.16,0.07,0.112,0.06,0.132,0.018,0.048,0.02,0.018,0.004,0.09,0.098,0.078,0.07,0.016,0.006,1,5
Villanova,2016,14,2,25,4,17,4,4,0,0.298936170212766,0.7121634168987929,113.6294027565084,93.8911704312115,19.738232325296902,99.83778155602296,107.05483220789012,7.217050651867144,0.1546003016591252,0.21124620060790272,0.10105580693815988,0.08358662613981763,66.3,0.2594547053649956,0.20985401459854017,Big East,6.46754225439252,0.998,0.002,0.48,0.48,1,In,0.31,0.344,0.186,0.084,0.034,0.008,0.012,0.006,0.004,0.002,0.002,0.004,0.004,0,0,0,2,6
Michigan State,2016,11,4,24,4,16,4,2,0,0.3696780893042575,0.7547993019197208,118.6153846153846,94.68798349664776,23.927401118736853,100.6856328005588,106.52315906548192,5.837526264923084,0.18031885651456844,0.1404867256637168,0.06377130291368883,0.084070796460177,66.66666666666667,0.2194668319900806,0.24309045226130657,Big Ten,7.557522869813085,0.978,0.022,0.31,0.31,1,In,0.184,0.268,0.122,0.108,0.112,0.084,0.038,0.024,0.012,0.01,0.014,0.008,0.006,0.006,0.004,0,2,7
Oklahoma,2016,10,6,22,6,15,6,1,0,0.3083832335329341,0.7026086956521739,113.55256601893372,98.10851169736186,15.444054321571867,98.95172463278588,107.83319625737666,8.88147162459076,0.1720430107526882,0.17167381974248927,0.09838709677419356,0.09334763948497854,70.521327014218,0.22684897451833436,0.17833632555356074,Big 12,8.79719834312284,0.944,0.056,0.24,0.32,0,In,0.056,0.174,0.166,0.12,0.142,0.066,0.09,0.09,0.058,0.024,0.004,0.004,0.004,0.002,0,0,2,8
West Virginia,2016,11,5,22,7,12,7,2,0,0.42133333333333334,0.7342582710779082,112.2022362664074,94.22418012726382,17.978056139143575,102.37582955772572,107.0601314706834,4.684301912957678,0.19708788351534065,0.2577265584075432,0.1393655746229849,0.0995285489785228,70.56880733944953,0.31057401812688823,0.3811659192825112,Big 12,8.79719834312284,0.822,0.178,0.32,0.32,1,In,0.044,0.022,0.18,0.136,0.132,0.098,0.096,0.124,0.05,0.032,0.052,0.014,0.006,0.014,0,0,3,9
Seton Hall,2016,11,5,21,7,14,5,3,1,0.35361216730038025,0.690975387420237,105.86734693877553,94.809160305343525,11.058186633432,99.81470879967108,103.97625802797796,4.161549228306885,0.19328585961342828,0.195618950585838,0.1017293997965412,0.10494141619969434,69.90222222222222,0.27141133896260555,0.22965641952983729,Big East,6.46754225439252,0.832,0.168,0.06,0.48,0,In,0.014,0.034,0.208,0.15,0.072,0.122,0.104,0.068,0.086,0.056,0.022,0.038,0.014,0.008,0.004,0,3,10
Texas A&M,2016,11,5,22,7,15,7,1,0,0.3378119001919386,0.6997193638914874,111.76470588235294,96.71219018715225,15.052515695200697,101.54131736798708,106.2171103993677,4.675793031380586,0.1751336898395722,0.21218206157965191,0.10494652406417113,0.07161981258366801,67.61581920903954,0.26959247648902823,0.2129032258064516,SEC,5.019994314707579,0.958,0.042,0.26,0.39,0,In,0.006,0.046,0.26,0.122,0.096,0.202,0.132,0.02,0.03,0.02,0.034,0.022,0.002,0.008,0,0,3,11
Virginia,2016,11,5,21,6,15,5,2,1,0.30158730158730157,0.7408256880733946,116.25730994152046,98.48042080654588,17.77688913497458,102.55336326988018,108.46534272956526,5.911979459685149,0.15907590759075907,0.19418758256274768,0.08448844884488449,0.0891677675033025,60.298507462686565,0.2699767261442979,0.2353413654618474,ACC,8.558223689554598,0.958,0.042,0.19,0.27,0,In,0.124,0.08,0.138,0.194,0.12,0.072,0.08,0.028,0.046,0.024,0.054,0.022,0.014,0.002,0.002,0,4,12
Utah,2016,12,4,22,6,14,5,3,1,0.30761209593326383,0.7271937445699392,115.66324033284386,100.29239766081872,15.370842672025134,104.53119748940952,107.112623483551,2.581425994141439,0.17304015296367112,0.1520912547528517,0.07265774378585087,0.08460076045627377,68.59016393442623,0.2888631090487239,0.16927899686520376,Pac-12,6.64127849762023,0.914,0.086,0.25,0.28,0,In,0.092,0.034,0.15,0.158,0.108,0.104,0.072,0.058,0.022,0.038,0.062,0.058,0.026,0.014,0.004,0,4,13
Louisville,2016,10,5,20,7,10,7,2,0,0.3895582329317269,0.71484375,115.5486219448778,92.83097854526426,22.71764339961355,102.82888551216983,108.01357114597604,5.184685633806206,0.1743951612903226,0.2188449848024316,0.10786290322580644,0.08358662613981763,66.27586206896551,0.2213527110117384,0.2707672796448954,ACC,8.558223689554598,0.46,0.54,0.27,0.27,1,In,0.058,0.06,0.108,0.128,0.108,0.1,0.118,0.086,0.082,0.078,0.048,0.014,0.008,0.002,0.002,0,4,14
California,2016,11,4,20,7,11,5,4,2,0.32326283987915405,0.7442273534635879,110.96513390601316,97.873417721519,13.09171618449416,102.38977307829,107.61038887774494,5.220615799454926,0.18418201516793067,0.1367335865436788,0.05417118093174431,0.0781334780249593,67.61904761904762,0.2849604221635884,0.2593984962406015,Pac-12,6.64127849762023,0.55,0.45,0.13,0.28,0,In,0.042,0.02,0.072,0.214,0.068,0.16,0.082,0.094,0.042,0.05,0.068,0.036,0.026,0.016,0.01,0,4,15
Duke,2016,10,6,21,8,12,8,3,0,0.3458498023715415,0.6638497652582159,120.83758937691522,104.30816016218957,16.529429214725667,103.30658838723517,110.66715057574264,7.360562188507559,0.14491362763915547,0.1930835734870317,0.09309021113243762,0.069164265129683,68.89256198347107,0.2945570971184632,0.15212765957446808,ACC,8.558223689554598,0.84,0.16,0.09,0.27,0,In,0.034,0.046,0.082,0.232,0.066,0.088,0.154,0.062,0.106,0.056,0.038,0.012,0.01,0.008,0.004,0.002,4,16
Iowa State,2016,9,7,20,9,13,8,2,1,0.2750775594622544,0.6922390722569135,115.44364508393284,103.998096144693,11.445548939239856,98.63216512171113,106.98210865120566,8.34994352949458,0.16121270452358036,0.1765267175572519,0.0875842155919153,0.07824427480916031,70.7404255319149,0.1781354051054384,0.16560170394036208,Big 12,8.79719834312284,0.958,0.042,0.07,0.32,0,In,0.01,0.008,0.038,0.214,0.144,0.064,0.11,0.174,0.104,0.038,0.08,0.006,0.006,0.002,0.002,0,4,17
Maryland,2016,11,5,22,6,12,6,3,0,0.3,0.7041742286751361,113.10803891449052,97.88986103962944,15.218177874861084,102.04681811644475,104.87400997913234,2.8271918626875276,0.19167111585691404,0.16711445459430413,0.08542445274959957,0.0951101558301988,66.59555555555555,0.275049115913556,0.17326139088729017,Big Ten,7.557522869813085,0.892,0.108,0.11,0.31,0,In,0.038,0.04,0.126,0.044,0.18,0.17,0.116,0.052,0.038,0.088,0.044,0.038,0.016,0.008,0.002,0,5,18
Baylor,2016,10,6,20,8,12,8,0,0,0.41290983606557374,0.7242105263157895,116.18172537008678,102.49617931737136,13.685546052715424,102.19255717414008,104.18540844625916,1.9928512721190736,0.19753086419753085,0.1928620452985587,0.11042524005486969,0.1029512697323267,65.16201117318435,0.2951082598235766,0.2870528109028961,Big 12,8.79719834312284,0.756,0.244,0.01,0.32,0,In,0.002,0.016,0.116,0.09,0.164,0.048,0.118,0.132,0.1,0.058,0.066,0.036,0.018,0.014,0.012,0.01,5,19
Arizona,2016,9,6,21,7,10,7,8,0,0.34394904458598724,0.7750455373406193,114.40389294403892,96.25850340136054,18.145389542678373,102.46485292873746,105.56827115642297,3.103418227685478,0.1747474747474747,0.16414904330312186,0.06565656565656566,0.07452165156092648,68.95927601809956,0.3202453987730061,0.19589442815249267,Pac-12,6.64127849762023,0.59,0.41,0.28,0.28,1,In,0.078,0.024,0.058,0.154,0.06,0.258,0.068,0.052,0.066,0.074,0.07,0.018,0.008,0.006,0.002,0.004,6,20
Purdue,2016,10,6,22,7,13,7,1,0,0.3640040444893832,0.7668766876687669,113.67781155015196,94.87829614604463,18.79951540410734,100.87179416641509,106.57658206736778,5.704787900952703,0.192057761732852,0.14892086330935253,0.06570397111913358,0.09784172661870504,68.81987577639751,0.2506350550381033,0.21239669421487603,Big Ten,7.557522869813085,0.93,0.07,0.16,0.31,0,In,0.062,0.03,0.112,0.164,0.108,0.244,0.09,0.05,0.038,0.056,0.026,0.014,0.002,0.004,0,0,6,21
SMU,2016,12,4,23,4,4,0,14,4,0.4175084175084175,0.7165200391006843,119.59496442255062,97.2796517954298,22.315312627120804,102.6874012327103,105.38726675498552,2.6998655222752483,0.1901931649331352,0.1869918699186992,0.09583952451708767,0.11160384331116038,64.0952380952381,0.23173803526448364,0.18809318377911993,American,5.5363611907967485,0.472,0.528,0.51,0.51,1,In,0.038,0.028,0.062,0.116,0.086,0.18,0.126,0.104,0.104,0.026,0.088,0.018,0.014,0.006,0.004,0,6,22
Notre Dame,2016,10,6,19,9,12,8,1,0,0.33512931034482757,0.7015968063872255,119.14775871610404,107.81507980187122,11.332678914232815,103.10476833282276,108.36386701818994,5.259098685367187,0.1443850267379679,0.1501182033096927,0.09090909090909093,0.0768321513002364,64.73076923076923,0.242885506287227,0.20327868852459016,ACC,8.558223689554598,0.832,0.168,0.02,0.27,0,In,0.016,0.028,0.048,0.138,0.054,0.164,0.12,0.068,0.084,0.118,0.122,0.012,0.02,0.002,0.004,0.002,6,23
George Washington,2016,10,6,21,8,5,1,12,7,0.3433734939759036,0.7319391634980988,111.6469984607491,101.22824974411463,10.418748716634468,101.88175830893668,106.63431471033064,4.752556401394013,0.17204870301746955,0.17150395778364116,0.08734780307040763,0.09023746701846966,66.86725663716814,0.327683615819209,0.19622181596587449,A 10,2.9375320416258695,0.548,0.452,0.17,0.25,0,Last Four Byes,0.006,0.008,0.038,0.062,0.048,0.222,0.074,0.078,0.114,0.102,0.148,0.026,0.046,0.01,0.012,0.006,6,24
Texas,2016,10,6,19,10,14,9,0,1,0.3095004897159647,0.6773879142300195,108.95908855515276,101.02722136620442,7.93186718894836,97.99083527516774,108.54666092927653,10.555825654108771,0.15583019881783988,0.1816239316239316,0.07415368081676518,0.06677350427350427,65.87610619469027,0.2630257376020088,0.26498422712933756,Big 12,8.79719834312284,0.802,0.198,0.04,0.32,0,In,0,0.014,0.022,0.088,0.096,0.264,0.162,0.092,0.104,0.074,0.064,0.016,0.002,0.002,0,0,6,25
Oregon,2016,11,4,21,6,13,4,1,2,0.3374870197300104,0.6904296875,112.987012987013,99.30244145490782,13.684571532105169,99.54777140016992,105.73024192005164,6.182470519881727,0.1813186813186813,0.2202835332606325,0.1153846153846154,0.06324972737186478,70,0.3235294117647059,0.20182291666666663,Pac-12,6.64127849762023,0.884,0.116,0.26,0.28,0,In,0.08,0.062,0.086,0.106,0.118,0.086,0.172,0.074,0.052,0.036,0.056,0.032,0.024,0.012,0.002,0.002,7,26
South Carolina,2016,10,6,22,6,13,6,3,0,0.3828413284132841,0.7089755213055303,106.53531955790486,96.39942390782524,10.135895650079604,101.82938477512664,103.76814007369684,1.9387552985702063,0.2043847241867044,0.2036775106082037,0.08415841584158416,0.0975954738330976,69.82716049382715,0.318606627017842,0.27399650959860383,SEC,5.019994314707579,0.518,0.482,0.03,0.39,0,Last Four Byes,0.012,0.024,0.138,0.096,0.076,0.092,0.17,0.046,0.104,0.078,0.05,0.056,0.02,0.016,0.014,0.008,7,27
Iowa,2016,10,5,18,8,12,7,2,1,0.3235581622678397,0.6832412523020258,114.8360229047371,98.91808346213293,15.91793944260418,100.7354118935516,107.87341522331955,7.138003329767959,0.14906166219839145,0.19289878113407524,0.10134048257372656,0.07684154742978272,68.7846889952153,0.2506038647342995,0.17417417417417416,Big Ten,7.557522869813085,0.862,0.138,0.17,0.31,0,In,0.01,0.038,0.116,0.116,0.102,0.062,0.302,0.054,0.072,0.048,0.048,0.012,0.014,0.006,0,0,7,28
Dayton,2016,12,4,22,6,4,1,13,4,0.29559748427672955,0.7608486017357763,106.9706498951782,95.53571428571428,11.434935609463906,101.26610681396173,105.7042595093822,4.438152695420407,0.1888825865002836,0.18547929665343169,0.08508224617129892,0.06863301191151447,67.16190476190476,0.2668052668052668,0.1949556918882072,A 10,2.9375320416258695,0.624,0.376,0.25,0.25,1,In,0.01,0.006,0.018,0.06,0.078,0.208,0.304,0.044,0.082,0.054,0.062,0.034,0.014,0.018,0.008,0,7,29
Kentucky,2016,11,5,21,8,14,8,2,0,0.3751233958538993,0.6889908256880733,115.31027466937944,98.28542612203732,17.024848547342117,102.0630143870962,106.28435346565306,4.221339078556883,0.16632756866734486,0.18406454866364097,0.08545269582909461,0.06202723146747353,67.21367521367522,0.2559214326978625,0.2964307320024198,SEC,5.019994314707579,0.906,0.094,0.39,0.39,1,In,0.008,0.044,0.082,0.172,0.104,0.136,0.174,0.082,0.06,0.026,0.08,0.012,0.006,0.008,0.004,0.002,7,30
Wisconsin,2016,11,5,19,10,12,8,2,0,0.3442288049029622,0.7175493250259606,108.5590465872156,99.62426194310252,8.93478464411308,100.68747412653548,109.17966128394777,8.492187157412248,0.16597510373443983,0.20066061106523533,0.09294605809128632,0.08340214698596202,62.59740259740259,0.26799242424242425,0.2173479561316052,Big Ten,7.557522869813085,0.888,0.112,0.04,0.31,0,In,0.002,0.008,0.064,0.062,0.094,0.136,0.292,0.098,0.072,0.09,0.052,0.018,0.006,0,0.004,0.002,7,31
Syracuse,2016,9,7,19,10,10,10,2,0,0.3333333333333333,0.6535211267605634,108.19584885577436,99.52305246422894,8.672796391545418,101.54143664719096,108.15987565679112,6.6184390096002135,0.17920735209649627,0.2086906803887936,0.12578977599080987,0.0989136649514008,63.598173515981735,0.2281045751633987,0.19698952879581152,ACC,8.558223689554598,0.718,0.282,0,0.27,0,In,0.002,0,0.054,0.07,0.084,0.106,0.156,0.132,0.126,0.144,0.074,0.03,0.012,0.004,0.004,0.002,7,32
Colorado,2016,10,7,20,9,12,8,4,1,0.35753176043557167,0.7512953367875648,108.71212121212122,100.61176470588236,8.100356506238867,102.45839407697804,106.55938247087128,4.100988393893248,0.19266503667481663,0.1535471331389699,0.07188264058679707,0.1098153547133139,69.91452991452991,0.3040697674418605,0.22329545454545455,Pac-12,6.64127849762023,0.798,0.202,0.03,0.28,0,In,0.006,0.004,0.068,0.094,0.066,0.17,0.078,0.186,0.078,0.056,0.126,0.028,0.022,0.008,0.002,0.008,8,33
