team,logo
Abilene Christian,https://a.espncdn.com/i/teamlogos/ncaa/500/2000.png
Air Force,https://a.espncdn.com/i/teamlogos/ncaa/500/2005.png
Akron,https://a.espncdn.com/i/teamlogos/ncaa/500/2006.png
Alabama,https://a.espncdn.com/i/teamlogos/ncaa/500/333.png
Alabama A&M,https://a.espncdn.com/i/teamlogos/ncaa/500/2010.png
Alabama State,https://a.espncdn.com/i/teamlogos/ncaa/500/2011.png
Alaska Anchorage,https://a.espncdn.com/i/teamlogos/ncaa/500/1.png
Albany,https://a.espncdn.com/i/teamlogos/ncaa/500/399.png
Alcorn State,https://a.espncdn.com/i/teamlogos/ncaa/500/2016.png
American University,https://a.espncdn.com/i/teamlogos/ncaa/500/44.png
Appalachian State,https://a.espncdn.com/i/teamlogos/ncaa/500/2026.png
Arizona,https://a.espncdn.com/i/teamlogos/ncaa/500/12.png
Arizona Christian,https://a.espncdn.com/i/teamlogos/ncaa/500/3188.png
Arizona State,https://a.espncdn.com/i/teamlogos/ncaa/500/9.png
Arkansas,https://a.espncdn.com/i/teamlogos/ncaa/500/8.png
Arkansas State,https://a.espncdn.com/i/teamlogos/ncaa/500/2032.png
Arkansas-Monticello,NA
Arkansas-Pine Bluff,https://a.espncdn.com/i/teamlogos/ncaa/500/2029.png
Army,https://a.espncdn.com/i/teamlogos/ncaa/500/349.png
Auburn,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png
Austin Peay,https://a.espncdn.com/i/teamlogos/ncaa/500/2046.png
Ave Maria,NA
Avila,NA
Ball State,https://a.espncdn.com/i/teamlogos/ncaa/500/2050.png
Baylor,https://a.espncdn.com/i/teamlogos/ncaa/500/239.png
Bellarmine,https://a.espncdn.com/i/teamlogos/ncaa/500/91.png
Belmont,https://a.espncdn.com/i/teamlogos/ncaa/500/2057.png
Benedictine College,NA
Bethune-Cookman,https://a.espncdn.com/i/teamlogos/ncaa/500/2065.png
Binghamton,https://a.espncdn.com/i/teamlogos/ncaa/500/2066.png
Birmingham-Southern,https://a.espncdn.com/i/teamlogos/ncaa/500/3.png
Boise State,https://a.espncdn.com/i/teamlogos/ncaa/500/68.png
Boston College,https://a.espncdn.com/i/teamlogos/ncaa/500/103.png
Boston University,https://a.espncdn.com/i/teamlogos/ncaa/500/104.png
Bowling Green,https://a.espncdn.com/i/teamlogos/ncaa/500/189.png
Bradley,https://a.espncdn.com/i/teamlogos/ncaa/500/71.png
BRIAR CLIFF,NA
Brown,https://a.espncdn.com/i/teamlogos/ncaa/500/225.png
Bryant,https://a.espncdn.com/i/teamlogos/ncaa/500/2803.png
Bucknell,https://a.espncdn.com/i/teamlogos/ncaa/500/2083.png
Buffalo,https://a.espncdn.com/i/teamlogos/ncaa/500/2084.png
Butler,https://a.espncdn.com/i/teamlogos/ncaa/500/2086.png
BYU,https://a.espncdn.com/i/teamlogos/ncaa/500/252.png
Cal Poly,https://a.espncdn.com/i/teamlogos/ncaa/500/13.png
California,https://a.espncdn.com/i/teamlogos/ncaa/500/25.png
California Baptist,https://a.espncdn.com/i/teamlogos/ncaa/500/2856.png
Campbell,https://a.espncdn.com/i/teamlogos/ncaa/500/2097.png
Canisius,https://a.espncdn.com/i/teamlogos/ncaa/500/2099.png
Carver College,NA
Centenary Louisiana,https://a.espncdn.com/i/teamlogos/ncaa/500/2113.png
Central Arkansas,https://a.espncdn.com/i/teamlogos/ncaa/500/2110.png
Central Connecticut,https://a.espncdn.com/i/teamlogos/ncaa/500/2115.png
Central Michigan,https://a.espncdn.com/i/teamlogos/ncaa/500/2117.png
Chaminade,NA
Champion Christian College,NA
Charleston,https://a.espncdn.com/i/teamlogos/ncaa/500/232.png
Charleston Southern,https://a.espncdn.com/i/teamlogos/ncaa/500/2127.png
Charlotte,https://a.espncdn.com/i/teamlogos/ncaa/500/2429.png
Chattanooga,https://a.espncdn.com/i/teamlogos/ncaa/500/236.png
Chicago State,https://a.espncdn.com/i/teamlogos/ncaa/500/2130.png
