team,logo
Fairleigh Dickinson,https://a.espncdn.com/i/teamlogos/ncaa/500/161.png
Florida,https://a.espncdn.com/i/teamlogos/ncaa/500/57.png
Florida A&M,https://a.espncdn.com/i/teamlogos/ncaa/500/50.png
Florida Atlantic,https://a.espncdn.com/i/teamlogos/ncaa/500/2226.png
Florida Gulf Coast,https://a.espncdn.com/i/teamlogos/ncaa/500/526.png
Florida International,https://a.espncdn.com/i/teamlogos/ncaa/500/2229.png
Florida Memorial,
Florida State,https://a.espncdn.com/i/teamlogos/ncaa/500/52.png
Fordham,https://a.espncdn.com/i/teamlogos/ncaa/500/2230.png
Fresno State,https://a.espncdn.com/i/teamlogos/ncaa/500/278.png
Furman,https://a.espncdn.com/i/teamlogos/ncaa/500/231.png
Gardner-Webb,https://a.espncdn.com/i/teamlogos/ncaa/500/2241.png
George Mason,https://a.espncdn.com/i/teamlogos/ncaa/500/2244.png
George Washington,https://a.espncdn.com/i/teamlogos/ncaa/500/45.png
Georgetown,https://a.espncdn.com/i/teamlogos/ncaa/500/46.png
Georgia,https://a.espncdn.com/i/teamlogos/ncaa/500/61.png
Georgia Southern,https://a.espncdn.com/i/teamlogos/ncaa/500/290.png
Georgia State,https://a.espncdn.com/i/teamlogos/ncaa/500/2247.png
Georgia Tech,https://a.espncdn.com/i/teamlogos/ncaa/500/59.png
Gonzaga,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png
Grambling,https://a.espncdn.com/i/teamlogos/ncaa/500/2755.png
Grand Canyon,https://a.espncdn.com/i/teamlogos/ncaa/500/2253.png
Green Bay,https://a.espncdn.com/i/teamlogos/ncaa/500/2739.png
Hampton,https://a.espncdn.com/i/teamlogos/ncaa/500/2261.png
Hartford,https://a.espncdn.com/i/teamlogos/ncaa/500/42.png
Harvard,https://a.espncdn.com/i/teamlogos/ncaa/500/108.png
Hawai'i,https://a.espncdn.com/i/teamlogos/ncaa/500/62.png
High Point,https://a.espncdn.com/i/teamlogos/ncaa/500/2272.png
Hofstra,https://a.espncdn.com/i/teamlogos/ncaa/500/2275.png
Holy Cross,https://a.espncdn.com/i/teamlogos/ncaa/500/107.png
Houston,https://a.espncdn.com/i/teamlogos/ncaa/500/248.png
Houston Baptist,https://a.espncdn.com/i/teamlogos/ncaa/500/2277.png
Howard,https://a.espncdn.com/i/teamlogos/ncaa/500/47.png
Idaho,https://a.espncdn.com/i/teamlogos/ncaa/500/70.png
Idaho State,https://a.espncdn.com/i/teamlogos/ncaa/500/304.png
Illinois,https://a.espncdn.com/i/teamlogos/ncaa/500/356.png
Illinois State,https://a.espncdn.com/i/teamlogos/ncaa/500/2287.png
Incarnate Word,https://a.espncdn.com/i/teamlogos/ncaa/500/2916.png
Indiana,https://a.espncdn.com/i/teamlogos/ncaa/500/84.png
Indiana State,https://a.espncdn.com/i/teamlogos/ncaa/500/282.png
Iona,https://a.espncdn.com/i/teamlogos/ncaa/500/314.png
Iowa,https://a.espncdn.com/i/teamlogos/ncaa/500/2294.png
Iowa State,https://a.espncdn.com/i/teamlogos/ncaa/500/66.png
IUPUI,https://a.espncdn.com/i/teamlogos/ncaa/500/85.png
Jackson State,https://a.espncdn.com/i/teamlogos/ncaa/500/2296.png
Jacksonville,https://a.espncdn.com/i/teamlogos/ncaa/500/294.png
Jacksonville State,https://a.espncdn.com/i/teamlogos/ncaa/500/55.png
James Madison,https://a.espncdn.com/i/teamlogos/ncaa/500/256.png
Johnson & Wales (NC),
Johnson University (FL),
Kansas,https://a.espncdn.com/i/teamlogos/ncaa/500/2305.png
Kansas City,https://a.espncdn.com/i/teamlogos/ncaa/500/140.png
Kansas State,https://a.espncdn.com/i/teamlogos/ncaa/500/2306.png
Kennesaw State,https://a.espncdn.com/i/teamlogos/ncaa/500/338.png
Kent State,https://a.espncdn.com/i/teamlogos/ncaa/500/2309.png
Kentucky,https://a.espncdn.com/i/teamlogos/ncaa/500/96.png
Kutztown University,https://a.espncdn.com/i/teamlogos/ncaa/500/2315.png
La Salle,https://a.espncdn.com/i/teamlogos/ncaa/500/2325.png
Lafayette,https://a.espncdn.com/i/teamlogos/ncaa/500/322.png
Lamar,https://a.espncdn.com/i/teamlogos/ncaa/500/2320.png
Lane College,
Lehigh,https://a.espncdn.com/i/teamlogos/ncaa/500/2329.png
Liberty,https://a.espncdn.com/i/teamlogos/ncaa/500/2335.png
Lipscomb,https://a.espncdn.com/i/teamlogos/ncaa/500/288.png
Little Rock,https://a.espncdn.com/i/teamlogos/ncaa/500/2031.png
