team,year,conf_wins,conf_losses,wins,losses,major_wins,major_losses,mid_major_wins,mid_major_losses,o_reb_rate,d_reb_rate,off_rating,def_rating,net_rating,sos_off,sos_def,sos_net,to_rate_off,to_rate_def,steal_rate,opp_steal_rate,pace,ftf,ftf_opp,conference,conf_avg_net,At-Large,DNQ,prob,max_prob,projected_champ,desc,seed_1,seed_2,seed_3,seed_4,seed_5,seed_6,seed_7,seed_8,seed_9,seed_10,seed_11,seed_12,seed_13,seed_14,seed_15,seed_16,pred_seed,rank
Duke,2019,12,3,24,4,17,3,2,1,0.3692307692307693,0.7012522361359571,115.53398058252426,91.541079241614,23.992901340910265,99.23614210037768,108.6798703745824,9.44372827420473,0.1754294638209266,0.21212121212121213,0.137948984903696,0.08986415882967608,73.5311004784689,0.23525908278737345,0.17391304347826086,ACC,9.38292280061322,0.974,0.026,0.33,0.39,0,In,0.542,0.126,0.108,0.096,0.032,0.032,0.006,0.014,0.008,0.004,0.004,0.016,0.008,0.004,0,0,1,1
Gonzaga,2019,14,0,27,2,6,2,14,0,0.31556039173014144,0.7275042444821732,126.86927158707188,91.22468659594986,35.64458499112203,103.4928894929935,106.56134483414904,3.0684553411555977,0.15342465753424658,0.13972602739726028,0.08493150684931507,0.06027397260273973,73,0.28431372549019607,0.12536443148688048,WCC,6.406420416136973,0.784,0.216,0.84,0.84,1,In,0.506,0.062,0.08,0.074,0.064,0.034,0.078,0.024,0.008,0.004,0.038,0.014,0.006,0.006,0.002,0,1,2
Tennessee,2019,13,2,24,3,17,3,2,0,0.3114571746384872,0.7009936766034327,118.2141045154744,96.8988307066599,21.315273808814496,101.71391018932768,105.59632709562123,3.882416906293557,0.15976331360946747,0.1912632821723731,0.08579881656804733,0.08795749704840614,69.69072164948454,0.2786312849162011,0.21672473867595815,SEC,7.067316975103073,0.956,0.044,0.24,0.51,0,In,0.458,0.134,0.17,0.086,0.046,0.018,0.01,0.01,0.012,0.004,0.02,0.016,0.012,0.004,0,0,1,3
Virginia,2019,13,2,24,2,16,2,3,0,0.31435643564356436,0.7478991596638656,117.8007290400972,89.07103825136612,28.729690788731077,100.85661754641326,105.08596329161648,4.229345745203208,0.1517915309446254,0.17340286831812254,0.08469055374592833,0.08670143415906127,61.094527363184085,0.22026431718061673,0.18284424379232503,ACC,9.38292280061322,0.97,0.03,0.39,0.39,1,In,0.408,0.132,0.106,0.104,0.086,0.036,0.042,0.022,0.022,0.008,0.012,0.012,0.004,0.004,0.002,0,1,4
Houston,2019,14,1,27,1,3,0,17,1,0.3407258064516129,0.7461187214611872,113.23763955342902,90.14909478168263,23.088544771746385,100.46458228252266,102.85565854865877,2.3910762661361273,0.17384370015948963,0.1869009584664537,0.09941520467836255,0.08572949946751864,67.17857142857143,0.2316043425814234,0.236724248240563,American,5.304128873212952,0.882,0.118,0.45,0.45,1,In,0.196,0.09,0.142,0.058,0.136,0.116,0.066,0.046,0.022,0.022,0.05,0.038,0.004,0.014,0,0,1,5
North Carolina,2019,13,2,23,5,15,5,2,0,0.35276967930029157,0.7633726201269265,114.73486625997184,96.55497876356772,18.179887496404135,99.0568838856072,107.7966186725585,8.739734786951306,0.15724137931034482,0.16986301369863013,0.08137931034482758,0.08356164383561644,72.5,0.1865671641791045,0.1941747572815534,ACC,9.38292280061322,0.99,0.01,0.08,0.39,0,In,0.192,0.154,0.116,0.184,0.126,0.058,0.04,0.044,0.02,0.012,0.014,0.022,0.012,0.002,0.004,0,1,6
Kentucky,2019,13,2,24,4,17,4,1,0,0.3788049605411499,0.7399014778325124,115.44156530936012,94.6875,20.754065309360115,100.4990361745939,108.91152610220976,8.412489927615864,0.19312602291325695,0.16693418940609953,0.088379705400982,0.08025682182985554,67.88888888888889,0.3167701863354037,0.1977401129943503,SEC,7.067316975103073,0.98,0.02,0.51,0.51,1,In,0.302,0.342,0.1,0.074,0.096,0.024,0.008,0.008,0.012,0,0.01,0.014,0.008,0.002,0,0,2,7
Michigan,2019,13,4,24,4,17,4,3,0,0.25,0.751765893037336,108.36543753439736,89.09487459105779,19.27056294333957,99.48041648899526,104.13019333646912,4.649776847473829,0.13734142305570876,0.18883415435139572,0.09707666850523994,0.05582922824302135,64.75,0.19850187265917604,0.15685019206145967,Big Ten,8.233314620284894,0.976,0.024,0.14,0.55,0,In,0.28,0.296,0.118,0.104,0.062,0.034,0.046,0.012,0.006,0.008,0.012,0.014,0.002,0.006,0,0,2,8
Michigan State,2019,14,3,23,5,17,5,1,0,0.34725274725274724,0.7231686541737649,116.15743138270328,94.84801648634723,21.309414896356017,99.24782884466237,107.19836179726984,7.950532952607506,0.19823788546255505,0.15913978494623657,0.08590308370044053,0.0989247311827957,63.71929824561404,0.296,0.1981981981981982,Big Ten,8.233314620284894,0.982,0.018,0.55,0.55,1,In,0.254,0.332,0.174,0.086,0.078,0.028,0.01,0.008,0.008,0,0.006,0.008,0.004,0.002,0.002,0,2,9
LSU,2019,13,2,23,5,13,4,2,1,0.3705179282868526,0.689484126984127,113.8187221396731,101.58180919426594,12.236912945407155,100.70525821048204,107.9526652233998,7.247407012917756,0.17996011964107678,0.2139303482587065,0.12911266201395813,0.08706467661691543,70.07860262008734,0.3023255813953488,0.23095673369896405,SEC,7.067316975103073,0.948,0.052,0.09,0.51,0,In,0.096,0.052,0.246,0.138,0.126,0.052,0.06,0.082,0.016,0.018,0.034,0.04,0.018,0.006,0.016,0,3,10
Texas Tech,2019,11,4,23,5,14,5,1,0,0.2899884925201381,0.7243133265513734,108.07651434643996,86.36604774535809,21.710466601081876,99.73663939557196,100.83448441881936,1.0978450232473982,0.1861081654294804,0.23731501057082452,0.1102863202545069,0.09302325581395347,67.05777777777777,0.24661944623309723,0.2622615803814714,Big 12,7.519107475827478,0.862,0.138,0.42,0.42,1,In,0.086,0.05,0.21,0.064,0.106,0.062,0.048,0.036,0.03,0.072,0.068,0.07,0.046,0.03,0.018,0.004,3,11
Washington,2019,13,1,22,5,14,4,2,1,0.309662398137369,0.6598712446351931,106.84855233853006,94.44444444444444,12.404107894085612,100.83622175322024,106.43864077761128,5.602419024391059,0.22528735632183908,0.21882086167800455,0.12528735632183907,0.1020408163265306,66.92307692307692,0.2423357664233577,0.2381596752368065,Pac-12,3.61043079989852,0.87,0.13,0.42,0.42,1,In,0.07,0.076,0.188,0.132,0.084,0.076,0.062,0.072,0.052,0.024,0.05,0.066,0.022,0.02,0.006,0,3,12
Kansas,2019,10,5,21,7,15,7,1,0,0.2892819979188345,0.7079482439926063,107.75468829194122,98.34087481146304,9.413813480478185,97.09974299348808,106.96779150865646,9.868048515168356,0.1956521739130435,0.18207681365576103,0.09420289855072464,0.09672830725462304,69,0.25354609929078015,0.1945337620578778,Big 12,7.519107475827478,0.908,0.092,0.12,0.42,0,In,0.016,0.098,0.178,0.102,0.166,0.08,0.102,0.076,0.078,0.076,0.018,0.008,0.002,0,0,0,3,13
Purdue,2019,14,3,21,7,14,7,3,0,0.3516028955532575,0.7261146496815286,115.36388140161723,100.9656652360515,14.398216165565728,99.24068228347132,108.3987547483339,9.158072464862586,0.22950819672131148,0.16129032258064516,0.13114754098360656,0.08064516129032258,61,0.2857142857142857,0.13114754098360656,Big Ten,8.233314620284894,0.904,0.096,0.11,0.55,0,In,0.072,0.114,0.148,0.19,0.076,0.09,0.132,0.058,0.048,0.018,0.026,0.01,0.008,0.004,0.002,0.004,4,14
Virginia Tech,2019,11,5,22,6,13,6,1,0,0.3108433734939759,0.7211111111111111,116.53631284916202,95.7222222222222,20.8140906269398,100.8880065577722,105.8479552500832,4.959948692311016,0.17338709677419356,0.20883534136546184,0.125,0.07630522088353414,62,0.3285024154589372,0.2437810945273632,ACC,9.38292280061322,0.94,0.06,0.18,0.39,0,In,0.056,0.09,0.09,0.16,0.094,0.098,0.152,0.034,0.076,0.072,0.046,0.024,0.006,0.002,0,0,4,15
Villanova,2019,12,4,20,8,14,6,4,0,0.3106212424849699,0.7305327868852459,113.53620146904512,102.63574064312073,10.900460825924412,102.01153024494194,107.49089180685866,5.479361561916754,0.16210045662100456,0.17272727272727273,0.07534246575342465,0.07727272727272727,61.473684210526315,0.27393617021276595,0.1153846153846154,Big East,5.686180900927733,0.91,0.09,0.44,0.44,1,In,0.03,0.046,0.08,0.158,0.114,0.13,0.102,0.08,0.034,0.074,0.114,0.022,0.012,0.002,0.002,0,4,16
Marquette,2019,12,3,23,5,15,5,1,0,0.2866666666666667,0.7391304347826086,110.81900910010113,96.8718466195762,13.947162480524923,100.00340582762568,106.88089834686784,6.877492519242188,0.20232675771370764,0.17417721518987342,0.06980273141122914,0.10126582278481013,69.98230088495575,0.2627599243856333,0.2276276276276276,Big East,5.686180900927733,0.992,0.008,0.28,0.44,0,In,0.086,0.104,0.204,0.11,0.238,0.086,0.042,0.04,0.03,0.01,0.014,0.016,0.008,0.008,0.004,0,5,17
Iowa,2019,10,7,20,7,13,7,2,0,0.3030949839914621,0.7110453648915187,114.57800511508952,103.74493927125503,10.83306584383446,98.83962828025106,105.87151540763884,7.031887127387784,0.17180851063829788,0.18674381904260912,0.09308510638297872,0.09047869542346132,69.30875576036867,0.32333767926988266,0.2022263450834879,Big Ten,8.233314620284894,0.948,0.052,0.08,0.55,0,In,0.004,0.03,0.078,0.116,0.182,0.084,0.116,0.088,0.094,0.092,0.102,0.004,0.004,0.004,0.002,0,5,18
Wisconsin,2019,11,6,19,9,15,8,0,0,0.2347266881028939,0.7328767123287672,107.46023038946792,94.01848830886352,13.4417420806044,99.4632480832262,106.27386705140586,6.810618968179646,0.1796116504854369,0.16981132075471697,0.06310679611650485,0.10849056603773584,63.38461538461538,0.2631578947368421,0.21428571428571427,Big Ten,8.233314620284894,0.938,0.062,0.05,0.55,0,In,0.004,0.02,0.08,0.132,0.292,0.086,0.14,0.064,0.042,0.062,0.054,0.016,0.004,0.004,0,0,5,19
Ole Miss,2019,9,6,19,9,10,8,3,1,0.3146314631463146,0.700507614213198,110.9724388975559,100.81967213114751,10.152766766408376,100.8326248270476,107.46199511485877,6.629370287811148,0.1890547263681592,0.13861386138613865,0.05970149253731343,0.11386138613861388,67,0.24242424242424243,0.2541436464088398,SEC,7.067316975103073,0.568,0.432,0.04,0.51,0,In,0.004,0.008,0.04,0.088,0.174,0.136,0.094,0.154,0.07,0.096,0.09,0.012,0.024,0.006,0.004,0,5,20
Mississippi State,2019,9,6,21,7,10,7,4,0,0.3434125269978402,0.6988577362409139,113.39937434827944,101.30208333333331,12.097291014946125,99.99937361602144,107.70177367345084,7.702400057429375,0.18923327895595432,0.20706260032102727,0.13213703099510604,0.08025682182985554,67.17808219178083,0.23837209302325585,0.22053231939163495,SEC,7.067316975103073,0.768,0.232,0.04,0.51,0,In,0.002,0.022,0.126,0.102,0.19,0.11,0.116,0.082,0.076,0.072,0.058,0.022,0.01,0.006,0.004,0.002,5,21
Cincinnati,2019,13,2,24,4,3,2,16,2,0.3711558854718982,0.7231270358306189,111.13549094898518,94.52433628318585,16.611154665799333,101.09277979721163,104.206229520255,3.113449723043374,0.15752895752895754,0.20713731574864236,0.09343629343629344,0.05740884406516679,63.95061728395062,0.2698961937716263,0.1977294228949858,American,5.304128873212952,0.9,0.1,0.2,0.45,0,In,0.028,0.048,0.05,0.054,0.036,0.274,0.254,0.06,0.094,0.02,0.048,0.022,0.004,0.006,0,0.002,6,22
Buffalo,2019,13,2,24,3,2,1,17,2,0.32302092811646954,0.729050279329609,115.007215007215,94.7292764734068,20.277938533808182,102.1430260780273,104.163001305297,2.01997522726969,0.16442048517520216,0.21010638297872344,0.10512129380053908,0.06117021276595744,72.39024390243902,0.27439024390243905,0.2012779552715655,MAC,5.553254881502333,0.842,0.158,0.54,0.54,1,In,0.028,0.046,0.054,0.052,0.066,0.202,0.19,0.048,0.038,0.022,0.134,0.082,0.006,0.024,0.006,0.002,6,23
Maryland,2019,12,6,21,8,12,8,1,0,0.3408360128617363,0.7554744525547445,108.90625,98.27856025039124,10.627689749608765,99.57108864992412,106.46699078235125,6.895902132427133,0.20364583333333333,0.14501825769431403,0.0671875,0.11058946270213876,66.20689655172414,0.25015556938394523,0.1885245901639344,Big Ten,8.233314620284894,0.936,0.064,0.02,0.55,0,In,0.012,0.018,0.082,0.11,0.102,0.288,0.082,0.132,0.052,0.07,0.024,0.018,0.004,0.006,0,0,6,24
Arizona State,2019,10,5,19,8,13,6,1,1,0.3352941176470588,0.7432170542635659,108.59613428280772,99.84817813765184,8.747956145155896,102.55011707486555,105.82877418987584,3.278657115010271,0.1907824222936763,0.19113721302722905,0.08842443729903537,0.08862786972770956,71.42583732057416,0.27852998065764023,0.27453580901856767,Pac-12,3.61043079989852,0.78,0.22,0.13,0.42,0,In,0.008,0.008,0.106,0.094,0.068,0.144,0.142,0.1,0.064,0.056,0.126,0.02,0.024,0.022,0.018,0,6,25
NC State,2019,8,7,20,8,11,8,0,0,0.36328502415458935,0.7086693548387096,113.43503937007875,98.3259478089611,15.109091561117651,101.49420535766028,104.3880302901072,2.89382493244695,0.1697530864197531,0.18294573643410852,0.09722222222222222,0.08527131782945736,71.01369863013699,0.18932874354561105,0.2846441947565543,ACC,9.38292280061322,0.58,0.42,0.01,0.39,0,In,0.004,0.024,0.092,0.084,0.07,0.16,0.16,0.076,0.106,0.098,0.082,0.016,0.012,0.008,0.008,0,6,26
Nevada,2019,12,2,25,2,3,0,18,2,0.2610030706243603,0.7373358348968105,115.25252525252525,93.9117199391172,21.34080531340804,102.46016951680748,106.73559514962132,4.2754256328138665,0.14585365853658536,0.20088192062714355,0.09073170731707315,0.06516413522782949,70.6896551724138,0.29218106995884774,0.1673493270918666,Mountain West,4.567433490984689,0.846,0.154,0.67,0.67,1,In,0.124,0.03,0.056,0.076,0.072,0.1,0.276,0.046,0.034,0.01,0.09,0.058,0.006,0.018,0.004,0,7,27
Iowa State,2019,9,6,20,8,12,8,2,0,0.28169014084507044,0.7067961165048544,114.34533124673968,98.11715481171548,16.22817643502421,100.31412419410717,103.94690745897258,3.6327832648654232,0.1593068753493572,0.19831932773109243,0.10844046953605366,0.07394957983193277,68.8076923076923,0.20426632191338073,0.16785022595222723,Big 12,7.519107475827478,0.876,0.124,0.15,0.42,0,In,0.012,0.024,0.094,0.072,0.088,0.13,0.16,0.098,0.086,0.1,0.096,0.012,0.01,0.018,0,0,7,28
Florida State,2019,10,5,22,6,13,6,3,0,0.3371134020618557,0.728744939271255,108.10536980749748,96.77914110429448,11.326228703203,99.40442974274649,106.2245341723964,6.820104429649914,0.1906108597285068,0.21334854535082717,0.10407239819004524,0.0713063320022818,70.3681592039801,0.28084526244035446,0.26202440775305097,ACC,9.38292280061322,0.9,0.1,0,0.39,0,In,0.002,0.062,0.136,0.114,0.132,0.124,0.15,0.066,0.062,0.066,0.06,0.018,0.008,0,0,0,7,29
Baylor,2019,10,5,19,9,13,6,1,1,0.3931888544891641,0.7023933402705516,110.1300108342362,100.32432432432432,9.805686509911864,98.3868092329084,105.29794350690682,6.9111342739984165,0.1998873873873874,0.1949438202247191,0.09403153153153151,0.08876404494382023,65.47465437788019,0.2119669000636537,0.23787061994609163,Big 12,7.519107475827478,0.926,0.074,0.03,0.42,0,In,0.002,0.006,0.124,0.096,0.152,0.122,0.152,0.09,0.106,0.066,0.036,0.026,0.01,0.006,0,0.006,7,30
Auburn,2019,8,7,18,9,11,9,1,0,0.3500482160077146,0.680628272251309,113.73737373737372,97.6958525345622,16.041521202811523,102.07345372456496,105.12390493947,3.0504512149050074,0.1870748299319728,0.22793487574978577,0.12074829931972789,0.09768637532133675,69.1764705882353,0.22998986828774065,0.2737967914438503,SEC,7.067316975103073,0.518,0.482,0.02,0.51,0,In,0.002,0.006,0.056,0.092,0.13,0.072,0.164,0.106,0.106,0.09,0.092,0.038,0.028,0.014,0.002,0.002,7,31
Louisville,2019,9,7,18,11,11,11,1,0,0.288404360753221,0.7400185701021356,108.1134892981583,97.86176031824962,10.251728979908677,97.31384228411667,108.32371826643536,11.009875982318617,0.1601423487544484,0.15302491103202848,0.07473309608540925,0.08185053380782918,68.12121212121212,0.24793388429752067,0.24017467248908295,ACC,9.38292280061322,0.556,0.444,0,0.39,0,In,0,0.006,0.018,0.024,0.066,0.088,0.224,0.154,0.112,0.15,0.138,0.016,0.002,0,0,0.002,7,32
