team,year,conf_wins,conf_losses,wins,losses,major_wins,major_losses,mid_major_wins,mid_major_losses,o_reb_rate,d_reb_rate,off_rating,def_rating,net_rating,sos_off,sos_def,sos_net,to_rate_off,to_rate_def,steal_rate,opp_steal_rate,pace,ftf,ftf_opp,conference,conf_avg_net,At-Large,DNQ,prob,max_prob,projected_champ,desc,seed_1,seed_2,seed_3,seed_4,seed_5,seed_6,seed_7,seed_8,seed_9,seed_10,seed_11,seed_12,seed_13,seed_14,seed_15,seed_16,pred_seed,rank
Virginia,2018,15,1,26,2,17,2,3,0,0.2746478873239437,0.7391304347826086,111.9005328596803,86.3905325443787,25.510000315301596,102.02600417375076,106.24703719098,4.221033017229261,0.14613618974751338,0.21559633027522937,0.11247130833970924,0.06498470948012232,59.07344632768361,0.16807432432432431,0.1613780598368087,ACC,8.544426444017272,0.966,0.034,0.48,0.48,1,In,0.53,0.176,0.124,0.058,0.024,0.022,0.026,0.004,0.01,0.004,0.006,0.008,0.004,0.004,0,0,1,1
Purdue,2018,15,3,26,5,19,4,1,0,0.27672955974842767,0.7233856893542757,119.5375176970269,95.35545023696682,24.18206746006008,101.08578587432918,106.4477184469799,5.361932572650711,0.15404040404040403,0.18531645569620253,0.0904040404040404,0.0759493670886076,67.98283261802575,0.26626506024096386,0.1482758620689655,Big Ten,8.859998353228125,0.984,0.016,0.44,0.44,1,In,0.476,0.298,0.126,0.052,0.018,0.01,0.004,0.002,0,0.004,0.002,0.002,0.006,0,0,0,1,2
Xavier,2018,14,3,26,4,17,4,4,0,0.3039419087136929,0.762589928057554,118.38814265863826,103.6205316223648,14.767611036273465,102.05318555499936,109.7988533345364,7.745667779537024,0.1724137931034483,0.1602655286865813,0.08189655172413793,0.09009009009009009,71.38461538461539,0.3167738164815897,0.1780447842708902,Big East,8.196109255098106,0.984,0.016,0.17,0.62,0,In,0.422,0.208,0.17,0.082,0.046,0.008,0.016,0.012,0.002,0.002,0.012,0.01,0.006,0.002,0.002,0,1,3
Kansas,2018,13,4,24,6,18,6,1,0,0.28888888888888886,0.6845814977973568,117.13469776297,101.23986647591798,15.894831287052028,102.11639304062416,108.23718136650857,6.120788325884348,0.16373155640171347,0.18836432999523128,0.09471680152308425,0.07868383404864092,70.03333333333333,0.187842278203724,0.17745415318230853,Big 12,8.963743544005771,0.986,0.014,0.21,0.38,0,In,0.332,0.244,0.202,0.076,0.078,0.028,0.018,0.012,0.004,0,0,0.004,0.002,0,0,0,1,4
Villanova,2018,12,4,25,4,13,4,6,0,0.2846481876332623,0.7268339768339769,123.9980449657869,100.43774319066148,23.560301775125424,102.96567994880763,107.82842545375442,4.862745504946738,0.145985401459854,0.18785677218474311,0.09332638164754951,0.06538661131292164,70.70967741935485,0.21241050119331745,0.19277845777233785,Big East,8.196109255098106,0.954,0.046,0.62,0.62,1,In,0.324,0.038,0.06,0.168,0.076,0.074,0.108,0.026,0.03,0.02,0.038,0.016,0.02,0,0.002,0,1,5
Duke,2018,12,5,24,6,16,6,1,0,0.39537126325940214,0.7115222876366695,121.22931442080376,98.21344616831216,23.0158682524916,101.90965132727855,108.03886038512589,6.129209057847366,0.17824933687002653,0.1726315789473684,0.106631299734748,0.08105263157894736,69.81481481481482,0.25664251207729466,0.1702750146284377,ACC,8.544426444017272,0.986,0.014,0.36,0.48,0,In,0.18,0.226,0.182,0.166,0.082,0.054,0.034,0.026,0.02,0.016,0.014,0,0,0,0,0,2,6
Cincinnati,2018,14,2,25,4,2,2,17,2,0.38585858585858585,0.7132075471698113,114.13043478260867,86.64241164241164,27.488023140197043,103.54184143045204,100.90512486411428,-2.6367165663377783,0.17490283176013327,0.22841225626740944,0.1121599111604664,0.07353760445682452,66.7037037037037,0.26136363636363635,0.18066666666666667,American,4.273041631308166,0.71,0.29,0.51,0.51,1,In,0.054,0.394,0.006,0.052,0.022,0.034,0.044,0.05,0.014,0.036,0.046,0.146,0.068,0.024,0.006,0.004,2,7
North Carolina,2018,11,6,22,8,16,7,4,0,0.38940520446096655,0.7502175805047868,116.21872103799817,103.59141791044776,12.627303127550377,100.59135952646666,110.35996796293524,9.768608436468591,0.16716417910447762,0.1587381071607411,0.07761194029850746,0.08312468703054582,71.46666666666667,0.2090364725095264,0.17344018317115054,ACC,8.544426444017272,0.942,0.058,0.06,0.48,0,In,0.022,0.214,0.098,0.124,0.148,0.106,0.076,0.106,0.048,0.028,0.02,0.008,0.002,0,0,0,2,8
Michigan State,2018,16,2,28,3,19,3,1,0,0.3632478632478632,0.7302580140734949,120.16052880075544,94.61502125649504,25.54550754426039,102.21190502339483,106.48079079391042,4.268885770515619,0.1939393939393939,0.14408493427704752,0.0595959595959596,0.0910010111223458,67.98283261802575,0.2916666666666667,0.2101732811626607,Big Ten,8.859998353228125,0.95,0.05,0.37,0.44,0,In,0.374,0.18,0.396,0.018,0.016,0,0.002,0,0.002,0.002,0.004,0.004,0.002,0,0,0,3,9
Tennessee,2018,12,5,22,7,17,7,0,0,0.3263888888888889,0.6898854961832062,109.8984771573604,98.31718510963792,11.58129204772247,100.6401429657914,108.99097480845676,8.350831842665382,0.18057828696126568,0.20647995606809447,0.09110747408619747,0.08127402526084569,67.26605504587157,0.2739549839228296,0.25716189207195206,SEC,6.479817795192534,0.972,0.028,0.28,0.29,0,In,0.02,0.092,0.298,0.23,0.166,0.09,0.044,0.034,0.004,0.008,0.006,0.006,0,0,0.002,0,3,10
West Virginia,2018,11,6,20,8,14,8,2,0,0.3714036617262424,0.6948176583493282,114.3533870203695,97.85202863961814,16.501358380751356,100.947640045019,106.82636198361035,5.878721938591371,0.16666666666666666,0.20989304812834225,0.09694555112881806,0.07820855614973261,68.0677966101695,0.2164723032069971,0.33474936278674594,Big 12,8.963743544005771,0.914,0.086,0.2,0.38,0,In,0.012,0.07,0.17,0.116,0.142,0.108,0.156,0.052,0.074,0.038,0.042,0.006,0.01,0.002,0.002,0,3,11
