team,year,conf_wins,conf_losses,wins,losses,major_wins,major_losses,mid_major_wins,mid_major_losses,o_reb_rate,d_reb_rate,off_rating,def_rating,net_rating,sos_off,sos_def,sos_net,to_rate_off,to_rate_def,steal_rate,opp_steal_rate,pace,ftf,ftf_opp,conference,conf_avg_net,At-Large,DNQ,prob,max_prob,projected_champ,desc,seed_1,seed_2,seed_3,seed_4,seed_5,seed_6,seed_7,seed_8,seed_9,seed_10,seed_11,seed_12,seed_13,seed_14,seed_15,seed_16,pred_seed,rank
UConn,2014,16,0,29,0,8,0,17,0,0.3575949367088608,0.7018095987411487,120.800395256917,67.55819712729074,53.24219812962626,103.05478270445336,82.6089027493929,-20.44587995506049,0.18463444857496905,0.2022332506203474,0.11152416356877325,0.08188585607940446,67.25,0.18956043956043955,0.08493150684931507,American,-12.989258654778698,0.814,0.186,0.99,0.99,1,In,0.648,0.076,0.044,0.002,0.022,0.042,0.04,0.026,0,0.022,0.01,0.038,0.024,0.002,0.002,0.002,1,1
Notre Dame,2014,15,0,28,0,22,0,2,0,0.4140061791967044,0.6853448275862069,116.97663328564616,83.08576904647819,33.89086423916797,96.25381355361137,94.5707977440296,-1.683015809581807,0.190897597977244,0.22778473091364204,0.12010113780025285,0.09386733416770963,71.9090909090909,0.29515418502202645,0.16666666666666666,ACC,9.875875529646128,0.932,0.068,0.78,0.78,1,In,0.612,0.264,0.074,0.006,0.004,0.002,0,0.006,0.002,0.002,0.002,0.008,0.014,0,0.002,0.002,1,2
Stanford,2014,16,1,27,2,20,1,3,1,0.36507936507936506,0.7116465863453815,112.987012987013,85.58024691358025,27.406766073432735,94.79802269602328,94.32523407994115,-0.4727886160821212,0.16534181240063592,0.17891373801916932,0.07313195548489666,0.0878594249201278,69.88888888888889,0.2024866785079929,0.14705882352941177,Pac-12,4.058558729726856,0.994,0.006,0.87,0.87,1,In,0.464,0.39,0.064,0.008,0.03,0.004,0.008,0.008,0,0.002,0.008,0.006,0.008,0,0,0,1,3
South Carolina,2014,14,1,26,2,17,2,1,0,0.3970420932878271,0.7064544650751547,110.38685744568096,80.38176033934252,30.005097106338457,98.2657671556435,89.64865692967794,-8.617110225965515,0.18723404255319148,0.1431578947368421,0.05957446808510638,0.08421052631578947,67.14285714285714,0.3422459893048128,0.16483516483516483,SEC,11.256965634261423,0.954,0.046,0.55,0.55,1,In,0.444,0.18,0.134,0.03,0.03,0.058,0.014,0.032,0.002,0.01,0.01,0.03,0.016,0.004,0.004,0.002,1,4
Baylor,2014,15,1,25,3,16,2,1,1,0.41414141414141414,0.71322925225965494,113.60640301318269,81.72397550635893,31.882427506823745,98.17939711374984,90.04911229994231,-8.13028481380751,0.18258426966292135,0.19749652294853964,0.0941011235955056,0.07649513212795549,71.2,0.2870662460567823,0.22749590834697217,Big 12,10.108713648101809,0.958,0.042,0.66,0.66,1,In,0.354,0.228,0.172,0.042,0.038,0.054,0.006,0.02,0,0.006,0.014,0.042,0.016,0.002,0.006,0,1,5
West Virginia,2014,14,2,25,3,17,3,1,0,0.3869104908565929,0.696078431372549,107.49102103642892,81.92955589586524,25.561465140563698,95.92614755449758,91.6857998516582,-4.240347702839384,0.20765027322404372,0.2340036563071298,0.11293260473588344,0.09140767824497258,68.625,0.3282275711159737,0.265625,Big 12,10.108713648101809,0.952,0.048,0.28,0.66,0,In,0.226,0.31,0.192,0.046,0.042,0.054,0.016,0.024,0.008,0.004,0.028,0.03,0.006,0.004,0.006,0.004,2,6
Duke,2014,12,3,25,4,21,3,1,1,0.4182547642928786,0.6721717588769612,110.6629578117756,86.97478991596638,23.68816789580923,93.16184481880326,96.94696312195046,3.7851183031472018,0.2554112554112554,0.1888412017167382,0.11688311688311688,0.11158798283261805,66,0.2323759791122715,0.1497695852534562,ACC,9.875875529646128,0.97,0.03,0.14,0.78,0,In,0.22,0.496,0.106,0.044,0.04,0.016,0.006,0.028,0,0.01,0.008,0.016,0.002,0.006,0,0.002,2,7
Tennessee,2014,12,3,23,5,16,5,1,0,0.4480077745383868,0.6759639048400328,108.455522971652,85.83984375,22.615679221652,91.77495045250656,95.02104797779482,3.2460975252882354,0.2097902097902098,0.19584055459272096,0.09965034965034963,0.09185441941074524,71.5,0.27439024390243905,0.18762886597938144,SEC,11.256965634261423,0.996,0.004,0.3,0.55,0,In,0.204,0.088,0.328,0.164,0.12,0.032,0.01,0.014,0.004,0.024,0.006,0,0.006,0,0,0,3,8
Louisville,2014,15,1,27,2,4,1,19,1,0.4126984126984127,0.6895093062605753,109.2635479388606,81.10492107706592,28.158626861794673,101.73937921279573,84.3641864918367,-17.37519272095898,0.20224719101123595,0.25390070921985813,0.1348314606741573,0.09219858156028368,71.2,0.18092105263157895,0.19896193771626297,American,-12.989258654778698,0.886,0.114,0.01,0.99,0,In,0.19,0.054,0.204,0.02,0.048,0.124,0.052,0.082,0.018,0.034,0.056,0.07,0.032,0.008,0.004,0.004,3,9
Penn State,2014,12,3,21,6,15,4,2,1,0.3631336405529954,0.7161458333333334,98.74274661508704,86.54686741136473,12.195879203722312,93.34880002811184,94.10856570523936,0.7597656771275183,0.1971153846153846,0.1927710843373494,0.11298076923076925,0.07951807228915662,69.33333333333334,0.2742382271468144,0.21220930232558136,Big Ten,6.894880180494068,0.978,0.022,0.19,0.36,0,In,0.044,0.056,0.346,0.092,0.082,0.066,0.104,0.048,0.032,0.066,0.038,0.018,0.004,0.002,0,0.002,3,10
