team,year,conf_wins,conf_losses,wins,losses,major_wins,major_losses,mid_major_wins,mid_major_losses,o_reb_rate,d_reb_rate,off_rating,def_rating,net_rating,sos_off,sos_def,sos_net,to_rate_off,to_rate_def,steal_rate,opp_steal_rate,pace,ftf,ftf_opp,conference,conf_avg_net,At-Large,DNQ,prob,max_prob,projected_champ,desc,seed_1,seed_2,seed_3,seed_4,seed_5,seed_6,seed_7,seed_8,seed_9,seed_10,seed_11,seed_12,seed_13,seed_14,seed_15,seed_16,pred_seed,rank
UConn,2021,17,0,20,1,19,1,0,0,0.3694362017804154,0.7482014388489209,114.94102228047184,71.96569920844327,42.97532307202856,95.55397945462909,91.0184099661292,-4.53556948849986,0.1822033898305085,0.2175141242937853,0.11581920903954802,0.08050847457627118,70.8,0.19138755980861244,0.15502555366269166,Big East,0.1447641061416235,0.888,0.112,0.97,0.97,1,In,0.528,0.276,0.03,0.02,0.012,0.024,0.012,0.038,0.004,0.012,0.004,0.02,0.012,0.002,0.002,0.004,1,1
Stanford,2021,19,2,22,2,19,2,2,0,0.3909415971394517,0.7274611398963731,112.09580838323356,76.89050211736237,35.20530626587117,95.804425338561,92.58332733905512,-3.2210979995058264,0.1717612809315866,0.18686131386861313,0.1091703056768559,0.0905109489051095,68.7,0.12074303405572756,0.14950166112956811,Pac-12,3.4247848749924152,0.942,0.058,0.64,0.64,1,In,0.438,0.344,0.04,0.012,0.04,0.026,0.02,0.024,0.004,0.006,0.008,0.024,0.01,0.004,0,0,1,2
South Carolina,2021,13,2,18,4,14,4,2,0,0.4295612009237875,0.7483940042826552,106.29629629629628,80.61728395061728,25.679012345679013,93.85423213101504,98.78983036754803,4.935598236532981,0.20922570016474465,0.21172638436482089,0.10214168039538717,0.0960912052117264,67.44444444444444,0.19454545454545455,0.11753731343283584,SEC,8.306802932453943,0.95,0.05,0.68,0.68,1,In,0.38,0.16,0.124,0.056,0.09,0.072,0.024,0.046,0.006,0.014,0.008,0.012,0.004,0.002,0.002,0,1,3
NC State,2021,12,2,17,2,13,2,0,0,0.3224852071005917,0.7411042944785277,109.6656976744186,85.71428571428571,23.9514119601329,92.6236679267448,97.22632138040748,4.602653453662696,0.18471337579617833,0.1518987341772152,0.07218683651804671,0.08227848101265822,67.28571428571429,0.24935064935064935,0.12264150943396226,ACC,5.526222516775213,0.904,0.096,0.64,0.64,1,In,0.334,0.134,0.062,0.06,0.052,0.106,0.05,0.076,0.034,0.024,0.022,0.024,0.014,0.004,0.002,0.002,1,4
Baylor,2021,14,1,19,2,14,2,1,0,0.4637305699481865,0.7624565469293163,110.92436974789916,72.6205997392438,38.30377000865536,95.52674125999282,91.9904712412615,-3.53627001873135,0.20727272727272728,0.2159509202453988,0.10787878787878788,0.0920245398773006,74.15730337078652,0.22602739726027396,0.1889055472263868,Big 12,6.557963976414157,0.872,0.128,0.96,0.96,1,In,0.294,0.218,0.1,0.052,0.062,0.102,0.028,0.076,0.008,0.02,0.008,0.022,0.006,0,0,0.004,1,5
Louisville,2021,14,2,21,2,15,2,0,0,0.34950248756218905,0.6901408450704225,113.48039215686272,87.4543239951279,26.02606816173484,97.04050213979154,94.8853482861271,-2.1551538536644457,0.1704119850187266,0.231203007518797,0.10486891385767792,0.07894736842105263,66.75,0.11608961303462322,0.18502202643171808,ACC,5.526222516775213,0.92,0.08,0.27,0.64,0,In,0.228,0.33,0.076,0.054,0.054,0.078,0.02,0.044,0.02,0.03,0.026,0.03,0.004,0.004,0.002,0,2,6
Maryland,2021,15,1,19,2,16,1,1,1,0.4167741935483871,0.681107099879663,122.84620293554562,95.5242966751918,27.321906260353813,97.99803183911396,99.71302274565468,1.7149909065407174,0.1548183254344392,0.2421875,0.14218009478672983,0.075,70.33333333333333,0.22743055555555555,0.14972273567467653,Big Ten,6.049007899468519,0.868,0.132,0.62,0.62,1,In,0.202,0.406,0.136,0.06,0.04,0.04,0.026,0.01,0.01,0.018,0.014,0.02,0.008,0.006,0.002,0.002,2,7
Texas A&M,2021,13,1,22,1,15,1,0,0,0.3241830065359477,0.7303754266211604,105.41033434650456,84.60598656078191,20.80434778572264,91.7088098172444,98.3447995838026,6.63598976655821,0.17660044150110377,0.2119205298013245,0.08609271523178808,0.09492273730684328,73.95918367346938,0.203125,0.1700507614213198,SEC,8.306802932453943,0.928,0.072,0.24,0.68,0,In,0.198,0.384,0.114,0.072,0.034,0.032,0.018,0.032,0.026,0.016,0.02,0.03,0.012,0.006,0.006,0,2,8
Indiana,2021,14,2,16,4,14,4,0,0,0.29132791327913277,0.7506459948320413,104.80439258750856,81.78082191780823,23.023570669700348,96.67938707160246,96.65167890006296,-0.02770817153952265,0.1518987341772152,0.2,0.08499095840867993,0.075,69.125,0.25591397849462366,0.14613778705636743,Big Ten,6.049007899468519,0.926,0.074,0.25,0.62,0,In,0.142,0.204,0.162,0.166,0.036,0.086,0.044,0.05,0.03,0.018,0.02,0.022,0.014,0.004,0,0.002,2,9
West Virginia,2021,12,4,18,4,14,4,2,0,0.34935064935064936,0.730817610062893,104.1640378548896,91.10970996216898,13.054327892720607,94.07179275221866,95.8503310801153,1.778538327896665,0.21212121212121213,0.21830985915492956,0.1265597147950089,0.09330985915492958,70.125,0.16977225672877846,0.1710261569416499,Big 12,6.557963976414157,0.95,0.05,0.01,0.96,0,In,0.04,0.086,0.168,0.12,0.108,0.112,0.11,0.086,0.022,0.096,0.032,0.008,0.002,0.002,0.006,0.002,3,10
Arizona,2021,13,4,15,4,13,4,0,0,0.29517241379310344,0.7179856115107913,97.9483282674772,81.56297420333838,16.385354064138824,91.49303920637172,95.74401761182362,4.2509784054519,0.1685575364667747,0.2634146341463415,0.16369529983792544,0.06504065040650407,67.61643835616438,0.1619047619047619,0.19874476987447695,Pac-12,3.4247848749924152,0.932,0.068,0.16,0.64,0,In,0.024,0.104,0.298,0.038,0.064,0.094,0.086,0.062,0.066,0.054,0.036,0.03,0.018,0.014,0.01,0.002,3,11
Tennessee,2021,9,4,15,6,10,6,0,0,0.4144486692015209,0.7412993039443155,101.59786950732357,85.44973544973546,16.14813405758811,88.02859395604999,95.7806572836708,7.752063327620815,0.2659279778393352,0.18435754189944137,0.08033240997229917,0.1424581005586592,72.2,0.2558922558922559,0.17337461300309598,SEC,8.306802932453943,0.82,0.18,0.03,0.68,0,In,0.008,0.024,0.492,0.044,0.05,0.09,0.098,0.046,0.026,0.048,0.044,0.024,0.004,0.002,0,0,3,12
Georgia,2021,10,5,18,5,12,5,1,0,0.3460166468489893,0.7063403781979978,96.91681210005817,80.82992402104033,16.08688807901784,89.53789728046483,95.51199720472444,5.974099924259636,0.19759036144578312,0.21904761904761905,0.09397590361445785,0.10238095238095238,69.16666666666667,0.21138211382113825,0.18926553672316385,SEC,8.306802932453943,0.778,0.222,0.03,0.68,0,In,0.006,0.016,0.292,0.098,0.08,0.154,0.072,0.114,0.03,0.064,0.032,0.024,0.018,0,0,0,3,13
Kentucky,2021,9,6,16,7,11,7,0,0,0.32823529411764707,0.6603325415676959,103.621853898097,92.54926108374384,11.072592814353143,89.60753088544844,97.3316416600695,7.724110774621087,0.18233618233618237,0.2028169014084507,0.1225071225071225,0.09295774647887324,70.19999999999999,0.1884498480243161,0.2348993288590604,SEC,8.306802932453943,0.778,0.222,0.02,0.68,0,In,0,0.004,0.078,0.336,0.042,0.086,0.082,0.088,0.142,0.056,0.028,0.018,0.032,0.008,0,0,4,14
Arkansas,2021,9,6,19,7,12,7,1,0,0.20981210855949897,0.6745138178096213,110.14127144298688,97.32862903225806,12.812642410728827,93.15242866914544,95.8261156093607,2.6736869402152528,0.15207373271889402,0.19718309859154928,0.06912442396313365,0.07042253521126761,72.33333333333333,0.23756906077348067,0.21739130434782608,SEC,8.306802932453943,0.766,0.234,0,0.68,0,In,0,0.002,0.1,0.354,0.086,0.092,0.058,0.076,0.112,0.05,0.05,0.016,0.002,0.002,0,0,4,15
Gonzaga,2021,16,1,21,3,0,1,18,1,0.41278295605858856,0.7760479041916167,109.21052631578948,82.89473684210526,26.315789473684205,94.81293490891407,93.98569665417612,-0.8272382547379907,0.29411764705882354,0.23255813953488372,0.13725490196078433,0.15891472868217055,63.75,0.19069767441860463,0.102803738317757,WCC,1.2466196324926158,0.51,0.49,0.87,0.87,1,In,0.016,0.01,0.004,0.002,0.294,0.016,0.008,0.036,0.014,0.02,0.146,0.09,0.124,0.066,0.124,0.03,5,16
Georgia Tech,2021,12,6,14,7,12,7,1,0,0.32266666666666666,0.7189973614775725,97.9606188466948,90.74333800841514,7.217280838279649,90.5059610260188,97.1210846501491,6.615123624130283,0.17232375979112272,0.193717277486911,0.0835509138381201,0.09162303664921466,62.530612244897966,0.13142857142857142,0.16716417910447762,ACC,5.526222516775213,0.75,0.25,0.02,0.64,0,In,0,0.006,0.052,0.08,0.27,0.164,0.116,0.1,0.118,0.062,0.016,0.006,0.004,0.004,0,0.002,5,17
Marquette,2021,14,3,17,4,14,3,1,0,0.3925104022191401,0.7444589308996089,103.48292029470863,86.28495339547271,17.197966899235936,95.36412914384532,92.99251519639888,-2.371613947446466,0.21897810218978103,0.2,0.09975669099756693,0.11566265060240964,68.5,0.13105413105413105,0.143646408839779,Big East,0.1447641061416235,0.876,0.124,0.02,0.97,0,In,0.108,0.124,0.14,0.078,0.092,0.184,0.044,0.082,0.026,0.072,0.018,0.012,0.008,0.004,0,0.008,6,18
Rutgers,2021,8,3,12,3,8,3,0,0,0.39307535641547864,0.6374501992031872,113.68110236220473,83.51648351648352,30.164618845721208,100.3073102771453,90.22616515032968,-10.081145126815644,0.21084337349397592,0.23652694610778444,0.15963855421686746,0.10179640718562874,66.39999999999999,0.17229729729729729,0.22181818181818183,Big Ten,6.049007899468519,0.462,0.538,0.06,0.62,0,In,0.088,0.09,0.098,0.02,0.028,0.328,0.068,0.072,0.054,0.034,0.014,0.052,0.034,0.004,0.012,0.004,6,19
