team,year,conf_wins,conf_losses,wins,losses,major_wins,major_losses,mid_major_wins,mid_major_losses,o_reb_rate,d_reb_rate,off_rating,def_rating,net_rating,sos_off,sos_def,sos_net,to_rate_off,to_rate_def,steal_rate,opp_steal_rate,pace,ftf,ftf_opp,conference,conf_avg_net,At-Large,DNQ,prob,max_prob,projected_champ,desc,seed_1,seed_2,seed_3,seed_4,seed_5,seed_6,seed_7,seed_8,seed_9,seed_10,seed_11,seed_12,seed_13,seed_14,seed_15,seed_16,pred_seed,rank
Pittsburgh,2014,9,6,21,7,12,6,3,1,0.380952380952381,0.7112750263435195,114.34240362811792,96.82179341657208,17.520610211545844,103.23423993204848,107.4357856489396,4.201545716891173,0.17304296645085343,0.19563936358279316,0.10771041789287816,0.07424867413081909,62.06392694063928,0.32046864231564437,0.25017717930545713,ACC,6.9157453784621,0.852,0.148,0.09,0.36,0,In,0.04,0.044,0.092,0.102,0.064,0.104,0.144,0.044,0.184,0.066,0.076,0.022,0.004,0.008,0.004,0.002,9,34
George Washington,2014,8,5,20,7,4,2,9,5,0.35706462212486306,0.6942231075697212,109.36473165388828,97.44565217391305,11.919079479975224,103.3341923747098,104.93756798015312,1.60337560544337,0.19852524106636416,0.20393258426966293,0.10890527509926262,0.10674157303370786,67.48325358851675,0.31649122807017543,0.2228956228956229,A 10,4.771124008798243,0.37,0.63,0.11,0.4,0,Last Four In,0.008,0.004,0.034,0.036,0.07,0.096,0.118,0.042,0.214,0.066,0.094,0.036,0.09,0.042,0.03,0.02,9,35
Oklahoma State,2014,6,9,18,10,10,9,2,1,0.29351184346035014,0.6860356138706654,115.220700152207,98.46938775510203,16.751312397104954,104.00411470438564,107.41237487415532,3.408260169769672,0.1478667445938048,0.2030606238964097,0.10753945061367622,0.09123013537374926,70.1948717948718,0.35913978494623655,0.27841726618705037,Big 12,7.938280377774082,0.518,0.482,0.09,0.36,0,In,0.004,0.008,0.054,0.04,0.044,0.102,0.07,0.066,0.3,0.076,0.2,0.01,0.016,0.002,0.008,0,9,36
LSU,2014,8,7,17,10,10,7,1,3,0.36738703339882117,0.6808309726156752,107.73993808049536,100.77922077922076,6.960717301274599,100.23898095503392,107.10771766563204,6.868736710598129,0.19421257651641624,0.18721973094170405,0.11630495269894268,0.0969730941704036,71.16831683168317,0.2453436095054592,0.29336905559276627,SEC,6.39513761825657,0.372,0.628,0.01,0.57,0,Last Four Byes,0,0,0.042,0.048,0.07,0.086,0.178,0.14,0.198,0.068,0.124,0.016,0.01,0.006,0.012,0.002,9,37
BYU,2014,12,5,19,10,2,3,13,7,0.3415061295971979,0.721465076660988,114.45837063563116,103.65908076751452,10.799289868116643,105.4731034398351,111.03720061283272,5.5640971729976,0.1475,0.17024463305042437,0.0975,0.08037943085371942,73.0593607305936,0.32448377581120946,0.24807578448786263,WCC,4.711732281474035,0.36,0.64,0.42,0.42,1,In,0.002,0.002,0.012,0.044,0.022,0.036,0.072,0.102,0.05,0.298,0.186,0.022,0.078,0.038,0.022,0.014,10,38
Iowa,2014,8,7,19,9,10,9,1,0,0.3842315369261477,0.7149321266968326,117.64705882352942,97.64411027568924,20.00294854784019,101.54945373885492,105.71147523972672,4.162021500871817,0.163078332569858,0.1906064751481988,0.10306917086578105,0.0925672594619243,69.57768924302789,0.338519313304721,0.2440217391304348,Big Ten,8.972992839059481,0.618,0.382,0.19,0.35,0,In,0.012,0.028,0.084,0.12,0.064,0.118,0.132,0.056,0.106,0.092,0.168,0.008,0.004,0.004,0.002,0.002,11,39
Stanford,2014,9,6,18,9,10,8,2,1,0.29633740288568255,0.7256908904810645,110.9229929000546,102.1953896816685,8.727603218386108,103.04158503052884,109.1138196202997,6.072234589770864,0.15841584158415842,0.16377171215880892,0.07425742574257425,0.06699751861042183,67.33333333333333,0.2838038632986627,0.23444283646888567,Pac-12,7.930507223389459,0.456,0.544,0.03,0.63,0,Last Four Byes,0.006,0.026,0.028,0.066,0.096,0.118,0.122,0.11,0.07,0.132,0.176,0.016,0.01,0.014,0.008,0.002,11,40
California,2014,9,6,18,10,10,8,2,1,0.3133402275077559,0.708498023715415,109.49868073878628,104.14673046251994,5.3519502762663365,105.00530718835346,108.11661619321308,3.111309004859602,0.15397631133671744,0.17264957264957265,0.08629441624365482,0.06666666666666667,65.66666666666666,0.2364341085271318,0.21264367816091953,Pac-12,7.930507223389459,0.324,0.676,0,0.63,0,Last Four In,0.002,0.01,0.012,0.056,0.028,0.096,0.142,0.094,0.08,0.106,0.256,0.024,0.024,0.022,0.028,0.02,11,41
Arkansas,2014,8,7,19,9,10,8,1,1,0.3275862068965517,0.6312384473197782,110.8148148148148,96.8058968058968,14.008918008918002,102.19796526351244,107.84619744202917,5.6482321785167215,0.16560509554140126,0.24367088607594936,0.12101910828025478,0.0759493670886076,71.09433962264151,0.291875,0.2845953002610966,SEC,6.39513761825657,0.512,0.488,0.11,0.57,0,In,0.002,0.006,0.052,0.11,0.108,0.072,0.142,0.162,0.082,0.038,0.17,0.028,0.01,0.018,0,0,11,42
Missouri,2014,7,8,19,9,11,9,3,0,0.3515625,0.7001897533206831,113.30425299890948,104.79784366576818,8.506409333141306,103.2691974342296,107.39314340980366,4.123945975574045,0.18920392584514725,0.15902964959568733,0.07142857142857142,0.08355795148247978,65.2088888888889,0.37551020408163266,0.2748904195366312,SEC,6.39513761825657,0.46,0.54,0,0.57,0,Last Four Byes,0,0.012,0.026,0.07,0.068,0.12,0.128,0.118,0.082,0.122,0.194,0.024,0.02,0.004,0.006,0.006,11,43
Tennessee,2014,8,7,16,11,11,9,0,1,0.4063136456211813,0.7157676348547718,114.54545454545456,100.50876201243642,14.036692533018126,101.14116450090904,107.17536636013452,6.034201859225469,0.17428397318708105,0.1715151515151515,0.08104814137720902,0.08484848484848485,62.8133971291866,0.29411764705882354,0.2397163120567376,SEC,6.39513761825657,0.494,0.506,0.07,0.57,0,In,0,0.004,0.024,0.046,0.112,0.072,0.134,0.132,0.072,0.108,0.268,0.016,0.004,0.004,0,0.004,11,44
